"Id","ID pojazdu","ID pasażera","Rola","Data urodzenia","Płeć","Uprawnienia do prowadzenia pojazdu","Liczba lat kierowania","Przyczyna wypadku","Kara","Pod wpływem","Obrażenia","Nieprawidłowe użycie","...7","...10"
106660961,"1","1","Kierujący","1963-07-10","Mężczyzna","Nie wymagane",NA,NA,"Wniosek o ukaranie","Alkoholu","Ranny lekko",NA,NA,NA
106660961,"2","1","Kierujący","1995-01-15","Mężczyzna","Posiada","4",NA,NA,"Trzeźwy",NA,NA,NA,NA
106661762,"1","1","Kierujący","Nieustalona","Nie ustalono",NA,NA,"Nieprawidłowe: omijanie","Dochodzenie","Trzeźwy",NA,NA,NA,NA
106661762,"2","1","Kierujący","1990-12-16","Mężczyzna","Nie wymagane",NA,NA,NA,"Alkoholu",NA,NA,NA,NA
106662116,"1","1","Kierujący","1975-07-24","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy",NA,NA,NA,NA
106662116,"2","1","Kierujący","1983-01-18","Mężczyzna","Posiada","16","Nieudzielenie pierwszeństwa przejazdu","Mandat karny","Trzeźwy",NA,NA,NA,NA
106662757,"1","1","Kierujący","1981-02-18","Mężczyzna","Posiada","19","Nieudzielenie pierwszeństwa przejazdu","Wniosek o ukaranie","Trzeźwy",NA,NA,NA,NA
106662757,"2","1","Kierujący","1954-01-08","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy","Ranny lekko",NA,NA,NA
106666349,"1","1","Kierujący","1974-06-07","Mężczyzna","Nie wymagane",NA,"Nieprzestrzeganie innych sygnałów","Wniosek o ukaranie","Alkoholu",NA,NA,NA,NA
106666349,"2","1","Kierujący","1986-05-09","Mężczyzna","Posiada","3",NA,NA,"Trzeźwy",NA,NA,NA,NA
106672165,"1","1","Kierujący","1940-01-06","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy",NA,NA,NA,NA
106672165,"2","1","Kierujący","1945-09-02","Mężczyzna","Posiada","26","Nieudzielenie pierwszeństwa przejazdu","Mandat karny","Trzeźwy",NA,NA,NA,NA
106675442,"1","1","Kierujący","1979-02-08","Kobieta","Posiada","13","Nieudzielenie pierwszeństwa przejazdu","Mandat karny","Trzeźwy",NA,NA,NA,NA
106675442,"2","1","Kierujący","2003-07-31","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy",NA,NA,NA,NA
106675442,"3","1","Kierujący","1975-12-01","Kobieta","Posiada","25",NA,NA,"Trzeźwy",NA,NA,NA,NA
106679654,"1","1","Kierujący","1972-09-16","Kobieta","Posiada","28",NA,NA,"Trzeźwy",NA,NA,NA,NA
106679654,"2","1","Kierujący","1989-10-15","Kobieta","Nie wymagane",NA,"Niezachowanie bezp. odl. między pojazdami","Mandat karny","Trzeźwy",NA,NA,NA,NA
106681911,"1","1","Kierujący","1958-02-23","Mężczyzna","Posiada","41","Nieudzielenie pierwszeństwa przejazdu","Mandat karny","Trzeźwy",NA,NA,NA,NA
106681911,"2","1","Kierujący","1974-05-27","Mężczyzna","Posiada","16",NA,NA,"Trzeźwy",NA,NA,NA,NA
106683771,"1","1","Kierujący","1999-04-24","Mężczyzna","Nie wymagane",NA,"Inne przyczyny","Mandat karny","Trzeźwy",NA,NA,NA,NA
106683771,"2","1","Kierujący","1979-08-04","Kobieta","Posiada","1",NA,NA,"Trzeźwy",NA,NA,NA,NA
106693986,"1","1","Kierujący","1952-08-18","Mężczyzna","Posiada","30","Nieudzielenie pierwszeństwa przejazdu","Mandat karny","Trzeźwy",NA,NA,NA,NA
106693986,"2","1","Kierujący","1948-09-05","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy",NA,NA,NA,NA
106694332,"1","1","Kierujący","1962-02-12","Mężczyzna","Nie wymagane",NA,"Nieudzielenie pierwszeństwa przejazdu","Mandat karny","Trzeźwy",NA,NA,NA,NA
106694332,"2","1","Kierujący","1967-10-27","Mężczyzna","Posiada","32",NA,NA,"Trzeźwy",NA,NA,NA,NA
106704253,"1","1","Kierujący","1974-03-27","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy","Ranny lekko",NA,NA,NA
106704253,"2","1","Kierujący","1975-03-18","Mężczyzna","Posiada","25","Nieprawidłowe przejeżdżanie przejazdu dla rowerzystów","Dochodzenie","Trzeźwy",NA,NA,NA,NA
106706226,"1","1","Kierujący","1975-04-07","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy","Ranny lekko",NA,NA,NA
106706226,"2","1","Kierujący","1973-05-02","Mężczyzna","Posiada","26","Nieudzielenie pierwszeństwa przejazdu","Mandat karny","Trzeźwy",NA,NA,NA,NA
106708294,"1","1","Kierujący","1998-11-02","Kobieta","Nie wymagane",NA,"Nieudzielenie pierwszeństwa przejazdu","Wniosek o ukaranie","Trzeźwy",NA,NA,NA,NA
106708294,"2","1","Kierujący","1981-07-13","Kobieta","Posiada","15",NA,NA,"Trzeźwy",NA,NA,NA,NA
106715213,"1","1","Kierujący","1950-06-28","Mężczyzna","Nie posiada",NA,"Nieudzielenie pierwszeństwa przejazdu","Dochodzenie","Alkoholu",NA,NA,NA,NA
106715213,"2","1","Kierujący","1953-09-23","Kobieta","Nie wymagane",NA,NA,NA,"Trzeźwy","Ranny ciężko",NA,NA,NA
106717050,"1","1","Kierujący","1996-10-08","Mężczyzna","Posiada","2","Niedostosowanie prędkości do warunków ruchu","Dochodzenie","Trzeźwy",NA,NA,NA,NA
106717050,"2","1","Kierujący","1985-11-25","Kobieta","Nie wymagane",NA,NA,NA,"Trzeźwy","Ranny lekko",NA,NA,NA
106722650,"1","1","Kierujący","1953-09-06","Mężczyzna","Posiada","21","Nieudzielenie pierwszeństwa przejazdu","Mandat karny","Trzeźwy",NA,NA,NA,NA
106722650,"2","1","Kierujący","1997-01-23","Mężczyzna","Posiada","8",NA,NA,"Trzeźwy",NA,NA,NA,NA
106745735,"1","1","Kierujący","1970-09-23","Mężczyzna","Posiada","28","Nieudzielenie pierwszeństwa przejazdu","Mandat karny","Trzeźwy",NA,NA,NA,NA
106745735,"2","1","Kierujący","1986-10-29","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy",NA,NA,NA,NA
106754162,"1","1","Kierujący","1956-05-23","Mężczyzna","Nie wymagane",NA,"Nieprawidłowe: skręcanie","Dochodzenie","Trzeźwy","Ranny lekko",NA,NA,NA
106754162,"2","1","Kierujący","1971-04-06","Mężczyzna","Posiada","29",NA,NA,"Trzeźwy",NA,NA,NA,NA
106754370,"1","1","Kierujący","1960-12-12","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy",NA,NA,NA,NA
106754370,"2","1","Kierujący","1997-07-10","Mężczyzna","Posiada","2","Nieudzielenie pierwszeństwa przejazdu","Mandat karny","Trzeźwy",NA,NA,NA,NA
106771234,"1","1","Kierujący","1986-07-18","Mężczyzna","Nie wymagane",NA,"Nieudzielenie pierwszeństwa przejazdu","Mandat karny","Trzeźwy",NA,NA,NA,NA
106771234,"2","1","Kierujący","1967-03-19","Kobieta","Posiada","19",NA,NA,"Trzeźwy",NA,NA,NA,NA
106774114,"1","1","Kierujący","1964-05-11","Mężczyzna","Nie wymagane",NA,"Nieprawidłowe: zmienianie pasa ruchu","Dochodzenie","Alkoholu","Ranny lekko",NA,NA,NA
106774114,"2","1","Kierujący","1964-10-12","Kobieta","Posiada","32",NA,NA,"Trzeźwy",NA,NA,NA,NA
106777687,"1","1","Kierujący","Nieustalona","Nie ustalono",NA,NA,NA,NA,"Trzeźwy",NA,NA,NA,NA
106777687,"2","1","Kierujący","1943-04-24","Kobieta","Nie wymagane",NA,"Nieudzielenie pierwszeństwa przejazdu","Wniosek o ukaranie","Trzeźwy",NA,NA,NA,NA
106786082,"1","1","Kierujący","1998-05-16","Mężczyzna","Posiada","1",NA,NA,"Trzeźwy",NA,NA,NA,NA
106786082,"2","1","Kierujący","Nieustalona","Nie ustalono",NA,NA,"Nieudzielenie pierwszeństwa przejazdu",NA,"Nie badano",NA,NA,NA,NA
106788866,"1","1","Kierujący","1959-08-20","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy","Ranny lekko",NA,NA,NA
106788866,"2","1","Kierujący","1974-12-17","Kobieta","Posiada","20","Nieudzielenie pierwszeństwa przejazdu","Wniosek o ukaranie","Trzeźwy",NA,NA,NA,NA
106789623,"1","1","Kierujący","1963-10-09","Mężczyzna","Posiada","27",NA,NA,"Trzeźwy",NA,NA,NA,NA
106789623,"2","1","Kierujący","1967-04-13","Mężczyzna","Nie wymagane",NA,"Nieudzielenie pierwszeństwa przejazdu","Dochodzenie","Trzeźwy","Smierć na miejscu",NA,NA,NA
106790758,"1","1","Kierujący","Nieustalona","Nie ustalono",NA,NA,NA,NA,"Trzeźwy",NA,NA,NA,NA
106790758,"2","1","Kierujący","1957-02-16","Mężczyzna","Nie wymagane",NA,NA,"Wniosek o ukaranie","Trzeźwy",NA,NA,NA,NA
106791877,"1","1","Kierujący","1970-03-05","Kobieta","Posiada","22","Nieudzielenie pierwszeństwa przejazdu","Mandat karny","Trzeźwy",NA,NA,NA,NA
106791877,"2","1","Kierujący","1950-09-22","Kobieta","Nie wymagane",NA,NA,NA,"Trzeźwy",NA,NA,NA,NA
106792040,"1","1","Kierujący","1988-01-10","Mężczyzna","Posiada","2",NA,NA,"Trzeźwy",NA,NA,NA,NA
106792040,"2","1","Kierujący","1966-02-24","Kobieta","Nie wymagane",NA,"Nieudzielenie pierwszeństwa przejazdu","Pouczenie","Trzeźwy","Ranny lekko",NA,NA,NA
106792893,"1","1","Kierujący","1960-07-15","Mężczyzna","Posiada","40","Nieudzielenie pierwszeństwa przejazdu","Mandat karny","Trzeźwy",NA,NA,NA,NA
106792893,"2","1","Kierujący","1967-06-09","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy",NA,NA,NA,NA
106796328,"1","1","Kierujący","1986-01-02","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy",NA,NA,NA,NA
106796328,"2","1","Kierujący","1989-12-11","Mężczyzna","Posiada","9","Nieudzielenie pierwszeństwa przejazdu","Mandat karny","Trzeźwy",NA,NA,NA,NA
106798351,"1","1","Kierujący","1975-11-24","Mężczyzna","Posiada","21","Nieudzielenie pierwszeństwa przejazdu","Wniosek o ukaranie","Trzeźwy",NA,NA,NA,NA
106798351,"2","1","Kierujący","1995-05-04","Mężczyzna","Posiada","10",NA,NA,"Trzeźwy",NA,NA,NA,NA
106798695,"1","1","Kierujący","1979-02-06","Mężczyzna","Posiada","21",NA,NA,"Trzeźwy",NA,NA,NA,NA
106798695,"2","1","Kierujący","1992-05-11","Mężczyzna","Nie wymagane",NA,"Wjazd przy czerwonym świetle","Mandat karny","Trzeźwy",NA,NA,NA,NA
106799646,"1","1","Kierujący","1955-07-19","Kobieta","Nie wymagane",NA,NA,NA,"Nie badano","Ranny lekko",NA,NA,NA
106799646,"2","1","Kierujący","1991-07-08","Kobieta","Posiada","6","Inne przyczyny","Mandat karny","Nie badano",NA,NA,NA,NA
106799818,"1","1","Kierujący","Nieustalona","Nie ustalono","Nie wymagane",NA,NA,"Wniosek o ukaranie","Trzeźwy",NA,NA,NA,NA
106799818,"2","1","Kierujący","1977-01-03","Mężczyzna","Posiada","19",NA,NA,"Trzeźwy",NA,NA,NA,NA
106804406,"1","1","Kierujący","1991-08-04","Kobieta","Posiada","8","Nieprawidłowe przejeżdżanie przejazdu dla rowerzystów","Dochodzenie","Trzeźwy",NA,NA,NA,NA
106804406,"2","1","Kierujący","1989-11-07","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy","Ranny ciężko",NA,NA,NA
106806089,"1","1","Kierujący","1980-09-17","Mężczyzna","Posiada","20",NA,NA,"Trzeźwy",NA,NA,NA,NA
106806089,"2","1","Kierujący","1987-10-07","Mężczyzna","Nie wymagane",NA,"Nieudzielenie pierwszeństwa przejazdu","Mandat karny","Trzeźwy",NA,NA,NA,NA
106808684,"1","1","Kierujący","1981-01-27","Mężczyzna","Posiada","18","Nieudzielenie pierwszeństwa przejazdu","Mandat karny","Trzeźwy",NA,NA,NA,NA
106808684,"2","1","Kierujący","1947-03-26","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy",NA,NA,NA,NA
106808939,"1","1","Kierujący","1974-11-24","Kobieta","Nie wymagane",NA,NA,"Mandat karny","Trzeźwy",NA,NA,NA,NA
106808939,"2","1","Kierujący","1987-12-05","Mężczyzna","Posiada","7","Nieudzielenie pierwszeństwa przejazdu","Mandat karny","Trzeźwy",NA,NA,NA,NA
106820005,"1","1","Kierujący","1957-05-26","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy","Ranny lekko",NA,NA,NA
106820005,"2","1","Kierujący","1973-05-29","Mężczyzna","Posiada","28","Nieprawidłowe: wyprzedzanie","Dochodzenie","Trzeźwy",NA,NA,NA,NA
106824236,"1","1","Kierujący","1972-03-27","Mężczyzna","Posiada","28",NA,NA,"Trzeźwy",NA,NA,NA,NA
106824236,"2","1","Kierujący","2006-12-12","Mężczyzna","Nie posiada",NA,"Wjazd przy czerwonym świetle","Dochodzenie","Trzeźwy","Ranny lekko",NA,NA,NA
106824499,"1","1","Kierujący","1976-12-24","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy",NA,NA,NA,NA
106824499,"2","1","Kierujący","1948-09-02","Mężczyzna","Posiada","39","Nieudzielenie pierwszeństwa przejazdu","Mandat karny","Trzeźwy",NA,NA,NA,NA
106856835,"1","1","Kierujący","1981-04-14","Kobieta","Posiada","17",NA,NA,"Trzeźwy",NA,NA,NA,NA
106856835,"2","1","Kierujący","1992-12-03","Mężczyzna","Nie wymagane",NA,NA,"Dochodzenie","Trzeźwy",NA,NA,NA,NA
106861955,"1","1","Kierujący","1980-08-19","Kobieta","Nie wymagane",NA,NA,NA,"Trzeźwy","Ranny lekko",NA,NA,NA
106861955,"2","1","Kierujący","1998-03-05","Kobieta","Posiada","2","Nieudzielenie pierwszeństwa przejazdu","Dochodzenie","Trzeźwy",NA,NA,NA,NA
106863479,"1","1","Kierujący","1977-01-24","Mężczyzna","Posiada","20","Nieprawidłowe: wyprzedzanie","Mandat karny","Trzeźwy",NA,NA,NA,NA
106863479,"2","1","Kierujący","1970-06-28","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy",NA,NA,NA,NA
106865182,"1","1","Kierujący","1999-06-16","Mężczyzna","Nie wymagane",NA,"Nieprawidłowe: skręcanie","Mandat karny","Trzeźwy",NA,NA,NA,NA
106865182,"2","1","Kierujący","1989-01-02","Mężczyzna","Posiada","9",NA,NA,"Trzeźwy",NA,NA,NA,NA
106867157,"1","1","Kierujący","Nieustalona","Nie ustalono",NA,NA,"Nieudzielenie pierwszeństwa przejazdu","Wniosek o ukaranie","Trzeźwy",NA,NA,NA,NA
106867157,"2","1","Kierujący","1982-03-26","Kobieta","Nie wymagane",NA,NA,NA,"Trzeźwy",NA,NA,NA,NA
106868243,"1","1","Kierujący","1994-02-13","Kobieta","Posiada","5","Nieudzielenie pierwszeństwa przejazdu","Dochodzenie","Trzeźwy",NA,NA,NA,NA
106868243,"2","1","Kierujący","1952-01-22","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy","Ranny lekko",NA,NA,NA
106869135,"1","1","Kierujący","1985-03-17","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy","Ranny lekko",NA,NA,NA
106869135,"2","1","Kierujący","1967-12-30","Mężczyzna","Posiada","28","Nieudzielenie pierwszeństwa przejazdu","Dochodzenie","Trzeźwy",NA,NA,NA,NA
106870911,"1","1","Kierujący","1968-02-21","Mężczyzna","Posiada","26","Nieustąpienie pierwszeństwa pieszemu w innych okolicznościach","Dochodzenie","Trzeźwy",NA,NA,NA,NA
106870911,"2","1","Kierujący","2008-04-20","Mężczyzna","Nie posiada",NA,NA,NA,"Trzeźwy",NA,NA,NA,NA
106871316,"1","1","Kierujący","Nieustalona","Nie ustalono","Nie wymagane",NA,"Inne przyczyny","Wniosek o ukaranie","Trzeźwy",NA,NA,NA,NA
106871316,"2","1","Kierujący","1983-11-23","Kobieta","Posiada","14",NA,NA,"Trzeźwy",NA,NA,NA,NA
106872255,"1","1","Kierujący","1988-07-05","Kobieta","Posiada","3","Nieudzielenie pierwszeństwa przejazdu","Mandat karny","Trzeźwy",NA,NA,NA,NA
106872255,"2","1","Kierujący","1981-08-08","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy",NA,NA,NA,NA
106872459,"1","1","Kierujący","1999-06-15","Mężczyzna","Nie wymagane",NA,"Nieudzielenie pierwszeństwa przejazdu","Mandat karny","Trzeźwy",NA,NA,NA,NA
106872459,"2","1","Kierujący","1953-04-17","Mężczyzna","Posiada","46",NA,NA,"Trzeźwy",NA,NA,NA,NA
106872570,"1","1","Kierujący","1949-12-07","Mężczyzna","Nie wymagane",NA,NA,"Dochodzenie","Trzeźwy","Ranny lekko",NA,NA,NA
106874549,"1","1","Kierujący","1959-02-11","Kobieta","Nie wymagane",NA,"Niedostosowanie prędkości do warunków ruchu","Dochodzenie","Trzeźwy","Ranny lekko",NA,NA,NA
106874671,"1","1","Kierujący","1962-10-29","Mężczyzna","Nie wymagane",NA,"Nieudzielenie pierwszeństwa przejazdu","Inny sposób zakończenia","Trzeźwy","Ranny lekko",NA,NA,NA
106874671,"2","1","Kierujący","1993-09-29","Mężczyzna","Posiada","6",NA,NA,"Trzeźwy",NA,NA,NA,NA
106876580,"1","1","Kierujący","1952-11-12","Mężczyzna","Posiada","14","Nieudzielenie pierwszeństwa przejazdu","Dochodzenie","Trzeźwy",NA,NA,NA,NA
106876580,"2","1","Kierujący","1994-03-29","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy","Ranny ciężko",NA,NA,NA
106876765,"2","1","Kierujący","Nieustalona","Nie ustalono",NA,NA,"Nieprawidłowe: cofanie","Dochodzenie","Trzeźwy",NA,NA,NA,NA
106876982,"1","1","Kierujący","1935-07-05","Mężczyzna","Posiada","60","Nieudzielenie pierwszeństwa przejazdu","Wniosek o ukaranie","Trzeźwy",NA,NA,NA,NA
106876982,"2","1","Kierujący","1948-04-06","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy","Ranny ciężko",NA,NA,NA
106877265,"1","1","Kierujący","1976-02-05","Kobieta","Nie wymagane",NA,NA,NA,"Trzeźwy",NA,NA,NA,NA
106877265,"2","1","Kierujący","Nieustalona","Mężczyzna",NA,NA,"Nieudzielenie pierwszeństwa przejazdu","Dochodzenie","Trzeźwy",NA,NA,NA,NA
106877768,"1","1","Kierujący","1959-04-14","Mężczyzna","Nie wymagane",NA,"Niedostosowanie prędkości do warunków ruchu","Inny sposób zakończenia","Trzeźwy",NA,NA,NA,NA
106879456,"1","1","Kierujący","1979-03-25","Kobieta","Nie wymagane",NA,NA,NA,"Trzeźwy","Ranny lekko",NA,NA,NA
106881092,"1","1","Kierujący","2006-11-13","Mężczyzna","Nie posiada",NA,"Nieudzielenie pierwszeństwa przejazdu","Wniosek o ukaranie","Trzeźwy",NA,NA,NA,NA
106881092,"2","1","Kierujący","1982-05-27","Kobieta","Posiada","19",NA,NA,"Trzeźwy",NA,NA,NA,NA
106882302,"1","1","Kierujący","1957-12-07","Mężczyzna","Posiada","27","Nieudzielenie pierwszeństwa przejazdu","Mandat karny","Trzeźwy",NA,NA,NA,NA
106882302,"2","1","Kierujący","1972-08-01","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy",NA,NA,NA,NA
106882485,"1","1","Kierujący","1976-09-10","Mężczyzna","Nie wymagane",NA,"Nieudzielenie pierwszeństwa przejazdu","Dochodzenie","Trzeźwy",NA,NA,NA,NA
106882485,"2","1","Kierujący","1989-09-25","Mężczyzna","Posiada","10",NA,NA,"Trzeźwy",NA,NA,NA,NA
106883149,"1","1","Kierujący","Nieustalona","Kobieta",NA,NA,NA,NA,"Trzeźwy",NA,NA,NA,NA
106883149,"2","1","Kierujący","Nieustalona","Nie ustalono",NA,NA,"Nieudzielenie pierwszeństwa przejazdu","Wniosek o ukaranie","Trzeźwy",NA,NA,NA,NA
106883377,"1","1","Kierujący","1978-11-23","Mężczyzna","Nie wymagane",NA,"Nieudzielenie pierwszeństwa przejazdu","Wniosek o ukaranie","Alkoholu","Ranny lekko",NA,NA,NA
106883377,"2","1","Kierujący","1991-10-10","Mężczyzna","Posiada","9",NA,NA,"Trzeźwy",NA,NA,NA,NA
106883833,"1","1","Kierujący","1952-11-06","Kobieta","Nie wymagane",NA,"Nieudzielenie pierwszeństwa przejazdu","Wniosek o ukaranie","Trzeźwy",NA,NA,NA,NA
106883833,"2","1","Kierujący","1949-10-26","Mężczyzna","Posiada","50",NA,NA,"Trzeźwy",NA,NA,NA,NA
106884822,"1","1","Kierujący","1973-07-19","Mężczyzna","Posiada","23","Nieudzielenie pierwszeństwa przejazdu","Mandat karny","Trzeźwy",NA,NA,NA,NA
106884822,"2","1","Kierujący","1980-07-27","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy",NA,NA,NA,NA
106885390,"1","1","Kierujący","1990-11-22","Mężczyzna","Posiada","9","Nieudzielenie pierwszeństwa przejazdu","Mandat karny","Trzeźwy",NA,NA,NA,NA
106885390,"2","1","Kierujący","1984-09-18","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy",NA,NA,NA,NA
106888410,"1","1","Kierujący","1958-09-24","Kobieta","Nie wymagane",NA,"Inne przyczyny","Wniosek o ukaranie","Alkoholu","Ranny lekko",NA,NA,NA
106888675,"1","1","Kierujący","1988-10-06","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy","Ranny ciężko",NA,NA,NA
106888675,"2","1","Kierujący","1992-12-16","Mężczyzna","Posiada","6","Nieprawidłowe: wyprzedzanie","Dochodzenie","Trzeźwy",NA,NA,NA,NA
106888897,"1","1","Kierujący","1949-10-22","Mężczyzna","Posiada","50",NA,NA,"Trzeźwy",NA,NA,NA,NA
106888897,"2","1","Kierujący","1975-02-14","Mężczyzna","Posiada","23","Nieprawidłowe: omijanie","Mandat karny","Trzeźwy",NA,NA,NA,NA
106889554,"1","1","Kierujący","1960-02-09","Kobieta","Nie wymagane",NA,NA,NA,"Trzeźwy","Ranny lekko",NA,NA,NA
106889554,"2","1","Kierujący","1988-08-01","Kobieta","Posiada","10","Nieudzielenie pierwszeństwa przejazdu","Dochodzenie","Trzeźwy",NA,NA,NA,NA
106890161,"1","1","Kierujący","1966-10-31","Kobieta","Posiada","33",NA,NA,"Trzeźwy",NA,NA,NA,NA
106890161,"2","1","Kierujący","2008-10-02","Mężczyzna","Nie wymagane",NA,"Nieudzielenie pierwszeństwa przejazdu","Dochodzenie","Trzeźwy","Ranny lekko",NA,NA,NA
106892414,"1","1","Kierujący","1973-12-07","Mężczyzna","Posiada","27","Nieudzielenie pierwszeństwa przejazdu","Mandat karny","Trzeźwy",NA,NA,NA,NA
106892414,"2","1","Kierujący","1979-10-08","Kobieta","Nie wymagane",NA,NA,NA,"Trzeźwy",NA,NA,NA,NA
106892526,"1","1","Kierujący","1981-12-28","Mężczyzna","Nie wymagane",NA,"Nieprawidłowe: wyprzedzanie","Dochodzenie","Trzeźwy",NA,NA,NA,NA
106892526,"2","1","Kierujący","1948-10-02","Kobieta","Nie wymagane",NA,NA,NA,"Trzeźwy","Ranny ciężko",NA,NA,NA
106892541,"1","1","Kierujący","1972-06-01","Kobieta","Nie wymagane",NA,NA,"Dochodzenie","Trzeźwy",NA,NA,NA,NA
106893941,"1","1","Kierujący","1955-11-17","Mężczyzna","Posiada","27","Nieudzielenie pierwszeństwa przejazdu","Mandat karny","Trzeźwy",NA,NA,NA,NA
106893941,"2","1","Kierujący","2005-06-10","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy",NA,NA,NA,NA
106894044,"1","1","Kierujący","1995-12-26","Kobieta","Nie wymagane",NA,NA,NA,"Trzeźwy","Ranny lekko",NA,NA,NA
106894044,"2","1","Kierujący","1953-12-19","Mężczyzna","Posiada","33","Nieudzielenie pierwszeństwa przejazdu","Dochodzenie","Trzeźwy",NA,NA,NA,NA
106894046,"1","1","Kierujący","Nieustalona","Nie ustalono",NA,NA,"Inne przyczyny","Wniosek o ukaranie","Trzeźwy",NA,NA,NA,NA
106894046,"2","1","Kierujący","1987-10-10","Mężczyzna","Nie wymagane",NA,"Inne przyczyny","Wniosek o ukaranie","Trzeźwy",NA,NA,NA,NA
106894218,"1","1","Kierujący","Nieustalona","Nie ustalono",NA,NA,"Inne przyczyny",NA,"Nie badano",NA,NA,NA,NA
106895128,"1","1","Kierujący","1998-04-17","Mężczyzna","Posiada","2","Nieudzielenie pierwszeństwa przejazdu","Dochodzenie","Trzeźwy",NA,NA,NA,NA
106895128,"2","1","Kierujący","1958-07-07","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy","Ranny lekko",NA,NA,NA
106895307,"1","1","Kierujący","1989-06-09","Mężczyzna","Posiada","8",NA,NA,"Trzeźwy",NA,NA,NA,NA
106895307,"2","1","Kierujący","1999-03-15","Mężczyzna","Posiada","5","Nieudzielenie pierwszeństwa przejazdu","Mandat karny","Trzeźwy",NA,NA,NA,NA
106895996,"1","1","Kierujący","1951-12-10","Kobieta","Nie posiada",NA,NA,NA,"Trzeźwy","Ranny lekko",NA,NA,NA
106895996,"2","1","Kierujący","1974-11-16","Mężczyzna","Posiada","26","Nieudzielenie pierwszeństwa przejazdu","Dochodzenie","Trzeźwy","Ranny ciężko",NA,NA,NA
