"Id","ID pojazdu","ID pasażera","Rola","Data urodzenia","Płeć","Uprawnienia do prowadzenia pojazdu","Pod wpływem","Liczba lat kierowania","Przyczyna wypadku","Kara","Obrażenia","Nieprawidłowe użycie"
108575781,"2","1","Kierujący","2006-09-13","Mężczyzna","Nie posiada","Trzeźwy",NA,"Inne przyczyny","Inny sposób zakończenia",NA,NA
108577900,"1","1","Kierujący","1994-07-09","Kobieta","Nie wymagane","Trzeźwy",NA,"Nieudzielenie pierwszeństwa przejazdu","Mandat karny",NA,NA
108577900,"2","1","Kierujący","1998-09-24","Mężczyzna","Posiada","Trzeźwy","4","Wjazd przy czerwonym świetle","Mandat karny",NA,NA
108580801,"1","1","Kierujący","1986-03-29","Mężczyzna","Nie wymagane","Trzeźwy",NA,NA,NA,NA,NA
108580801,"2","1","Kierujący","1977-10-03","Mężczyzna","Posiada","Trzeźwy","25","Nieudzielenie pierwszeństwa przejazdu","Mandat karny",NA,NA
108580902,"1","1","Kierujący","1983-03-01","Mężczyzna","Nie wymagane","Trzeźwy",NA,NA,NA,NA,NA
108580902,"2","1","Kierujący","Nieustalona","Nie ustalono",NA,"Trzeźwy",NA,"Niezachowanie bezp. odl. między pojazdami","Inny sposób zakończenia",NA,NA
108580942,"1","1","Kierujący","2005-01-14","Mężczyzna","Nie posiada","Trzeźwy",NA,NA,NA,"Ranny ciężko",NA
108580942,"2","1","Kierujący","1995-03-31","Mężczyzna","Posiada","Trzeźwy","5","Nieudzielenie pierwszeństwa przejazdu","Dochodzenie",NA,NA
108582114,"1","1","Kierujący","1985-02-07","Mężczyzna","Nie wymagane","Trzeźwy",NA,"Nieustąpienie pierwszeństwa pieszemu w innych okolicznościach","Mandat karny",NA,NA
108586415,"1","1","Kierujący","1962-12-01","Mężczyzna","Posiada","Trzeźwy","4",NA,NA,NA,NA
108586415,"1","2","Pasażer","1939-09-06","Kobieta",NA,"Trzeźwy",NA,NA,NA,"Ranny ciężko",NA
108586415,"2","1","Kierujący","Nieustalona","Nie ustalono",NA,"Trzeźwy",NA,"Wjazd przy czerwonym świetle","Dochodzenie",NA,NA
108588566,"1","1","Kierujący","Nieustalona","Mężczyzna",NA,"Trzeźwy",NA,NA,NA,NA,NA
108588566,"2","1","Kierujący","2003-05-08","Mężczyzna","Nie posiada","Trzeźwy",NA,"Nieudzielenie pierwszeństwa przejazdu","Inny organ",NA,NA
108600930,"1","1","Kierujący","1965-04-21","Mężczyzna","Posiada","Trzeźwy","37","Nieudzielenie pierwszeństwa przejazdu","Mandat karny",NA,NA
108600930,"2","1","Kierujący","1990-03-19","Kobieta","Nie wymagane","Trzeźwy",NA,"Inne przyczyny","Mandat karny",NA,NA
108604943,"1","1","Kierujący","1964-02-22","Mężczyzna","Nie wymagane","Trzeźwy",NA,NA,NA,NA,NA
108604943,"2","1","Kierujący","1938-05-13","Mężczyzna","Posiada","Trzeźwy","60","Nieudzielenie pierwszeństwa przejazdu","Mandat karny",NA,NA
108610452,"1","1","Kierujący","1989-05-23","Mężczyzna","Nie wymagane","Trzeźwy",NA,NA,NA,"Ranny ciężko",NA
108610452,"2","1","Kierujący","Nieustalona","Nie ustalono",NA,"Trzeźwy",NA,"Nieudzielenie pierwszeństwa przejazdu","Dochodzenie",NA,NA
108611014,"1","1","Kierujący","1984-06-25","Mężczyzna","Nie posiada","Trzeźwy",NA,NA,NA,NA,NA
108611014,"2","1","Kierujący","1935-01-06","Mężczyzna","Posiada","Trzeźwy","67","Nieudzielenie pierwszeństwa przejazdu","Mandat karny",NA,NA
108612818,"1","1","Kierujący","1979-01-26","Mężczyzna","Nie wymagane","Trzeźwy",NA,NA,NA,"Ranny lekko",NA
108612818,"2","1","Kierujący","1994-05-27","Mężczyzna","Posiada","Trzeźwy","8","Nieudzielenie pierwszeństwa przejazdu","Wniosek o ukaranie",NA,NA
108612877,"1","1","Kierujący","1950-10-20","Mężczyzna","Nie wymagane","Trzeźwy",NA,NA,NA,"Ranny lekko",NA
108612877,"2","1","Kierujący","1953-02-08","Mężczyzna","Posiada","Trzeźwy","43","Nieprawidłowe: wyprzedzanie","Dochodzenie",NA,NA
108612969,"1","1","Kierujący","1978-10-15","Mężczyzna","Nie wymagane","Trzeźwy",NA,NA,NA,NA,NA
108612969,"2","1","Kierujący","1973-01-13","Mężczyzna","Posiada","Trzeźwy","24","Nieudzielenie pierwszeństwa przejazdu","Wniosek o ukaranie",NA,NA
108613179,"1","1","Kierujący","1992-06-19","Mężczyzna","Posiada","Trzeźwy","10",NA,NA,NA,NA
108613179,"2","1","Kierujący","1959-05-01","Mężczyzna","Nie posiada","Trzeźwy",NA,"Nieudzielenie pierwszeństwa przejazdu","Dochodzenie","Ranny ciężko",NA
108625458,"1","1","Kierujący","1934-05-11","Mężczyzna","Nie wymagane","Trzeźwy",NA,NA,NA,NA,NA
108625458,"2","1","Kierujący","1962-09-08","Kobieta","Posiada","Trzeźwy","28","Nieudzielenie pierwszeństwa przejazdu","Mandat karny",NA,NA
108635053,"1","1","Kierujący","2003-02-17","Mężczyzna","Posiada","Trzeźwy","6",NA,NA,"Ranny lekko",NA
108635053,"2","1","Kierujący","1980-09-17","Mężczyzna","Nie wymagane","Alkoholu",NA,"Nieprawidłowe: wymijanie","Wniosek o ukaranie","Ranny lekko",NA
108641266,"1","1","Kierujący","1957-06-27","Mężczyzna","Nie wymagane","Trzeźwy",NA,"Nieustąpienie pierwszeństwa pieszemu w innych okolicznościach","Dochodzenie",NA,NA
108642819,"1","1","Kierujący","1957-05-19","Mężczyzna","Nie wymagane","Trzeźwy",NA,NA,NA,NA,NA
108642819,"2","1","Kierujący","1991-06-27","Mężczyzna","Posiada","Trzeźwy","10","Nieudzielenie pierwszeństwa przejazdu","Pouczenie",NA,NA
108644465,"1","1","Kierujący","1979-01-08","Mężczyzna","Nie wymagane","Trzeźwy",NA,NA,NA,"Ranny ciężko",NA
108644465,"2","1","Kierujący","Nieustalona","Nie ustalono",NA,"Trzeźwy",NA,"Nieudzielenie pierwszeństwa przejazdu","Dochodzenie",NA,NA
108644929,"1","1","Kierujący","1983-03-20","Mężczyzna","Nie wymagane","Trzeźwy",NA,NA,NA,NA,NA
108644929,"2","1","Kierujący","1976-05-09","Mężczyzna","Posiada","Trzeźwy","27","Nieudzielenie pierwszeństwa przejazdu","Mandat karny",NA,NA
108646858,"1","1","Kierujący","1999-05-17","Mężczyzna","Posiada","Trzeźwy","2",NA,NA,NA,NA
108646858,"2","1","Kierujący","1954-01-01","Mężczyzna","Nie wymagane","Trzeźwy",NA,"Nieudzielenie pierwszeństwa przejazdu","Dochodzenie","Ranny ciężko",NA
108647253,"1","1","Kierujący","2000-10-23","Mężczyzna","Nie wymagane","Trzeźwy",NA,NA,NA,"Ranny ciężko",NA
108647253,"2","1","Kierujący","1998-02-02","Mężczyzna","Posiada","Trzeźwy","4","Nieudzielenie pierwszeństwa przejazdu","Dochodzenie",NA,NA
108647458,"1","1","Kierujący","1971-03-10","Mężczyzna","Posiada","Trzeźwy","31",NA,NA,NA,NA
108647458,"2","1","Kierujący","1965-12-28","Mężczyzna","Nie wymagane","Trzeźwy",NA,"Nieudzielenie pierwszeństwa przejazdu","Mandat karny",NA,NA
108650070,"1","1","Kierujący","Nieustalona","Nie ustalono",NA,"Trzeźwy",NA,"Nieustąpienie pierwszeństwa pieszemu w innych okolicznościach","Dochodzenie",NA,NA
108651413,"1","1","Kierujący","1992-03-29","Mężczyzna","Nie wymagane","Trzeźwy",NA,NA,NA,NA,NA
108651413,"2","1","Kierujący","1951-12-29","Mężczyzna","Posiada","Trzeźwy","32","Nieudzielenie pierwszeństwa przejazdu","Mandat karny",NA,NA
108653794,"1","1","Kierujący","1951-09-21","Mężczyzna","Nie wymagane","Trzeźwy",NA,NA,NA,"Ranny lekko",NA
108653794,"2","1","Kierujący","1960-08-09","Mężczyzna","Posiada","Trzeźwy","40","Nieprawidłowe przejeżdżanie przejazdu dla rowerzystów","Dochodzenie",NA,NA
108657760,"1","1","Kierujący","1956-12-08","Mężczyzna","Posiada","Trzeźwy","45",NA,NA,NA,NA
108657760,"2","1","Kierujący","1967-11-22","Mężczyzna","Nie wymagane","Trzeźwy",NA,"Jazda bez wymaganego oświetlenia","Wniosek o ukaranie",NA,NA
108658333,"1","1","Kierujący","1982-11-30","Kobieta","Nie wymagane","Trzeźwy",NA,"Nieudzielenie pierwszeństwa przejazdu","Mandat karny",NA,NA
108658545,"1","1","Kierujący","Nieustalona","Nie ustalono",NA,"Trzeźwy",NA,NA,NA,NA,NA
108658545,"2","1","Kierujący","1949-07-21","Mężczyzna","Nie wymagane","Trzeźwy",NA,"Nieudzielenie pierwszeństwa przejazdu","Wniosek o ukaranie",NA,NA
108660809,"1","1","Kierujący","1976-11-17","Mężczyzna","Nie wymagane","Trzeźwy",NA,NA,NA,NA,NA
108660809,"2","1","Kierujący","1996-06-12","Mężczyzna","Posiada","Trzeźwy","5","Nieudzielenie pierwszeństwa przejazdu","Mandat karny",NA,NA
108662984,"1","1","Kierujący","1992-08-30","Mężczyzna","Nie wymagane","Trzeźwy",NA,NA,NA,"Śmierć w ciągu 30 dni",NA
108662984,"2","1","Kierujący","1993-10-26","Mężczyzna","Posiada","Innego środka","8","Niezachowanie bezp. odl. między pojazdami","Dochodzenie",NA,NA
108666679,"1","1","Kierujący","1996-06-03","Kobieta","Nie wymagane","Trzeźwy",NA,NA,NA,"Ranny lekko",NA
108666679,"2","1","Kierujący","1989-02-21","Mężczyzna","Nie posiada","Trzeźwy",NA,"Wjazd przy czerwonym świetle","Dochodzenie",NA,NA
108670043,"1","1","Kierujący","2006-07-13","Mężczyzna","Posiada","Trzeźwy","4","Inne przyczyny","Wniosek o ukaranie",NA,NA
108670043,"2","1","Kierujący","1981-07-18","Mężczyzna","Posiada","Trzeźwy","21","Inne przyczyny","Wniosek o ukaranie",NA,NA
108671478,"1","1","Kierujący","1960-11-14","Mężczyzna","Nie wymagane","Trzeźwy",NA,NA,NA,"Ranny ciężko",NA
108671478,"2","1","Kierujący","1989-02-11","Kobieta","Posiada","Trzeźwy","10","Nieprawidłowe: wyprzedzanie","Dochodzenie",NA,NA
108672636,"1","1","Kierujący","1984-03-17","Mężczyzna","Nie wymagane","Trzeźwy",NA,NA,NA,NA,NA
108672636,"2","1","Kierujący","1994-02-10","Mężczyzna","Posiada","Trzeźwy","8","Nieudzielenie pierwszeństwa przejazdu","Mandat karny",NA,NA
108680723,"1","1","Kierujący","2007-08-27","Mężczyzna","Nie posiada","Trzeźwy",NA,NA,NA,"Ranny ciężko",NA
108680723,"2","1","Kierujący","Nieustalona","Nie ustalono",NA,"Trzeźwy",NA,"Nieprawidłowe: wymijanie","Dochodzenie",NA,NA
108713818,"1","1","Kierujący","Nieustalona","Mężczyzna","Nie wymagane","Trzeźwy",NA,NA,"Inny sposób zakończenia",NA,NA
108713818,"2","1","Kierujący","1943-08-19","Mężczyzna","Posiada","Trzeźwy","51",NA,"Inny sposób zakończenia",NA,NA
108714224,"1","1","Kierujący","1984-04-13","Mężczyzna","Nie wymagane","Trzeźwy",NA,NA,NA,"Ranny ciężko",NA
108714224,"2","1","Kierujący","1994-04-10","Kobieta","Posiada","Trzeźwy","2","Nieudzielenie pierwszeństwa przejazdu","Dochodzenie",NA,NA
108714412,"1","1","Kierujący","1970-09-08","Kobieta","Posiada","Trzeźwy","32",NA,NA,NA,NA
108714412,"2","1","Kierujący","1968-01-04","Mężczyzna","Posiada","Trzeźwy","28","Nieudzielenie pierwszeństwa przejazdu","Wniosek o ukaranie",NA,NA
108717668,"1","1","Kierujący","1976-07-05","Kobieta","Nie wymagane","Trzeźwy",NA,NA,NA,"Ranny lekko",NA
108717668,"2","1","Kierujący","Nieustalona","Nie ustalono",NA,"Trzeźwy",NA,"Nieudzielenie pierwszeństwa przejazdu","Dochodzenie",NA,NA
108719406,"1","1","Kierujący","1997-01-09","Kobieta","Posiada","Trzeźwy","3",NA,NA,NA,NA
108719406,"2","1","Kierujący","1934-04-13","Mężczyzna","Nie wymagane","Trzeźwy",NA,"Nieudzielenie pierwszeństwa przejazdu","Mandat karny",NA,NA
108721659,"1","1","Kierujący","1978-10-10","Mężczyzna","Nie wymagane","Trzeźwy",NA,NA,NA,NA,NA
108721659,"2","1","Kierujący","1985-02-18","Kobieta","Posiada","Trzeźwy","17","Nieudzielenie pierwszeństwa przejazdu","Mandat karny",NA,NA
108722740,"1","1","Kierujący","1942-03-04","Kobieta","Posiada","Trzeźwy","43",NA,NA,NA,NA
108722740,"2","1","Kierujący","2007-10-17","Mężczyzna","Posiada","Trzeźwy","1","Inne przyczyny","Inny sposób zakończenia",NA,NA
108722989,"1","1","Kierujący","1962-12-09","Mężczyzna","Posiada","Trzeźwy","38",NA,NA,NA,NA
108722989,"2","1","Kierujący","1953-12-12","Kobieta","Nie wymagane","Trzeźwy",NA,"Nieprzestrzeganie innych sygnałów","Mandat karny",NA,NA
108723192,"1","1","Kierujący","2000-12-01","Mężczyzna","Posiada","Trzeźwy","1",NA,NA,NA,NA
108723192,"2","1","Kierujący","1962-07-19","Mężczyzna","Nie posiada","Alkoholu",NA,"Inne przyczyny","Wniosek o ukaranie",NA,NA
108723379,"1","1","Kierujący","1976-04-27","Kobieta","Posiada","Trzeźwy","12",NA,NA,NA,NA
108723379,"2","1","Kierujący","1974-08-18","Kobieta","Nie wymagane","Trzeźwy",NA,"Nieudzielenie pierwszeństwa przejazdu","Mandat karny","Ranny ciężko",NA
108725792,"1","1","Kierujący","1997-08-17","Mężczyzna","Nie wymagane","Trzeźwy",NA,"Inne przyczyny","Pouczenie",NA,NA
108725792,"2","1","Kierujący","1978-06-25","Kobieta","Posiada","Trzeźwy","23","Nieudzielenie pierwszeństwa przejazdu","Pouczenie",NA,NA
108732060,"1","1","Kierujący","1963-11-16","Kobieta","Nie wymagane","Trzeźwy",NA,NA,NA,"Ranny lekko",NA
108732060,"2","1","Kierujący","1960-01-08","Mężczyzna","Posiada","Trzeźwy","14","Nieudzielenie pierwszeństwa przejazdu","Dochodzenie",NA,NA
108732887,"1","1","Kierujący","1969-06-25","Mężczyzna","Nie wymagane","Trzeźwy",NA,"Nieustąpienie pierwszeństwa pieszemu w innych okolicznościach","Mandat karny","Ranny ciężko",NA
108733243,"1","1","Kierujący","1999-05-31","Mężczyzna","Nie wymagane","Trzeźwy",NA,"Nieudzielenie pierwszeństwa przejazdu","Dochodzenie","Ranny lekko",NA
108733243,"2","1","Kierujący","Nieustalona","Nie ustalono",NA,"Trzeźwy",NA,NA,NA,NA,NA
108736212,"1","1","Kierujący","1965-05-07","Kobieta","Posiada","Trzeźwy","31","Inne przyczyny","Mandat karny",NA,NA
108736212,"2","1","Kierujący","2011-05-09","Mężczyzna","Nie posiada","Trzeźwy",NA,NA,NA,NA,NA
108737387,"1","1","Kierujący","1970-09-17","Kobieta","Posiada","Trzeźwy","24","Nieudzielenie pierwszeństwa przejazdu","Mandat karny",NA,NA
108737387,"2","1","Kierujący","2000-12-04","Mężczyzna","Nie wymagane","Trzeźwy",NA,NA,NA,NA,NA
108741967,"1","1","Kierujący","2000-12-03","Kobieta","Posiada","Trzeźwy","1","Niezachowanie bezp. odl. między pojazdami","Dochodzenie",NA,NA
108741967,"2","1","Kierujący","1969-04-23","Kobieta","Nie wymagane","Trzeźwy",NA,NA,NA,"Ranny lekko",NA
108742960,"1","1","Kierujący","1942-01-01","Mężczyzna","Posiada","Trzeźwy","37","Nieudzielenie pierwszeństwa przejazdu","Dochodzenie",NA,NA
108742960,"2","1","Kierujący","1966-02-20","Kobieta","Nie wymagane","Trzeźwy",NA,NA,NA,"Ranny ciężko",NA
108745545,"1","1","Kierujący","1948-03-02","Mężczyzna","Posiada","Trzeźwy","18","Nieudzielenie pierwszeństwa przejazdu","Mandat karny",NA,NA
108745545,"2","1","Kierujący","1958-11-05","Kobieta","Nie wymagane","Trzeźwy",NA,NA,NA,NA,NA
108746857,"1","1","Kierujący","1972-02-13","Kobieta","Nie wymagane","Trzeźwy",NA,"Nieudzielenie pierwszeństwa przejazdu","Wniosek o ukaranie","Ranny lekko",NA
108746857,"2","1","Kierujący","1957-10-01","Mężczyzna","Posiada","Trzeźwy","17",NA,NA,NA,NA
108747627,"1","1","Kierujący","1995-08-02","Kobieta","Posiada","Trzeźwy","5","Nieudzielenie pierwszeństwa przejazdu","Mandat karny",NA,NA
108747627,"2","1","Kierujący","1964-08-26","Mężczyzna","Nie wymagane","Trzeźwy",NA,NA,NA,NA,NA
108750566,"1","1","Kierujący","1967-08-07","Kobieta","Posiada","Trzeźwy","25","Nieudzielenie pierwszeństwa przejazdu","Pouczenie",NA,NA
108750566,"2","1","Kierujący","1977-10-29","Mężczyzna","Nie wymagane","Trzeźwy",NA,NA,NA,NA,NA
108750883,"1","1","Kierujący","1988-08-17","Mężczyzna","Nie wymagane","Trzeźwy",NA,"Inne przyczyny","Wniosek o ukaranie",NA,NA
108750883,"2","1","Kierujący","1971-01-13","Mężczyzna","Posiada","Trzeźwy","30",NA,NA,NA,NA
108752019,"1","1","Kierujący","2005-08-02","Kobieta","Nie posiada","Trzeźwy",NA,"Nieudzielenie pierwszeństwa przejazdu","Dochodzenie","Ranny lekko",NA
108752019,"2","1","Kierujący","1981-01-20","Mężczyzna","Posiada","Trzeźwy","20",NA,NA,NA,NA
108752449,"1","1","Kierujący","1960-05-14","Mężczyzna","Nie wymagane","Alkoholu",NA,"Inne przyczyny","Wniosek o ukaranie",NA,NA
108753039,"1","1","Kierujący","Nieustalona","Nie ustalono","Nie wymagane","Trzeźwy",NA,"Nieprzestrzeganie innych sygnałów","Inny sposób zakończenia",NA,NA
108754768,"1","1","Kierujący","1983-12-01","Mężczyzna","Nie posiada","Trzeźwy",NA,"Niezachowanie bezp. odl. między pojazdami","Mandat karny",NA,NA
108754768,"2","1","Kierujący","1990-12-03","Mężczyzna","Posiada","Trzeźwy","11",NA,NA,NA,NA
108756808,"1","1","Kierujący","1956-04-04","Mężczyzna","Posiada","Alkoholu","46","Nieudzielenie pierwszeństwa przejazdu","Wniosek o ukaranie","Ranny lekko",NA
108756808,"2","1","Kierujący","1941-04-28","Mężczyzna","Posiada","Trzeźwy","54",NA,NA,NA,NA
108757724,"1","1","Kierujący","1971-11-11","Mężczyzna","Posiada","Trzeźwy","30","Nieudzielenie pierwszeństwa przejazdu","Mandat karny",NA,NA
108757724,"2","1","Kierujący","1955-03-13","Kobieta","Nie wymagane","Trzeźwy",NA,NA,NA,NA,NA
108758672,"1","1","Kierujący","1978-10-14","Mężczyzna","Posiada","Trzeźwy","28","Nieudzielenie pierwszeństwa przejazdu","Inny sposób zakończenia",NA,NA
108758672,"2","1","Kierujący","1941-09-20","Mężczyzna","Nie wymagane","Trzeźwy",NA,NA,NA,NA,NA
108766887,"1","1","Kierujący","2001-11-22","Mężczyzna","Nie wymagane","Trzeźwy",NA,"Wjazd przy czerwonym świetle","Mandat karny",NA,NA
108766887,"2","1","Kierujący","1991-11-18","Mężczyzna","Posiada","Trzeźwy","10",NA,NA,NA,NA
108766887,"3","1","Kierujący","1975-01-25","Kobieta","Posiada","Trzeźwy","26",NA,NA,NA,NA
108766949,"1","1","Kierujący","Nieustalona","Nie ustalono",NA,"Trzeźwy",NA,"Nieudzielenie pierwszeństwa przejazdu","Inny sposób zakończenia",NA,NA
108766949,"2","1","Kierujący","2005-08-02","Mężczyzna","Nie posiada","Trzeźwy",NA,NA,NA,NA,NA
108769810,"1","1","Kierujący","1952-04-17","Mężczyzna","Nie wymagane","Alkoholu",NA,"Nieprawidłowe: skręcanie","Mandat karny",NA,NA
108769810,"2","1","Kierujący","1952-01-20","Mężczyzna","Posiada","Trzeźwy","14",NA,NA,NA,NA
108770664,"1","1","Kierujący","1999-04-18","Mężczyzna","Posiada","Trzeźwy","3","Nieudzielenie pierwszeństwa przejazdu","Dochodzenie",NA,NA
108770664,"2","1","Kierujący","1952-02-28","Kobieta","Nie wymagane","Trzeźwy",NA,NA,NA,"Ranny lekko",NA
108771364,"1","1","Kierujący","Nieustalona","Mężczyzna",NA,"Trzeźwy",NA,"Nieudzielenie pierwszeństwa przejazdu","Inny sposób zakończenia",NA,NA
108771364,"2","1","Kierujący","1985-02-06","Mężczyzna","Posiada","Trzeźwy","17",NA,NA,NA,NA
108772580,"1","1","Kierujący","1975-03-02","Mężczyzna","Nie wymagane","Trzeźwy",NA,"Nieudzielenie pierwszeństwa przejazdu","Mandat karny",NA,NA
108772580,"2","1","Kierujący","1980-03-25","Mężczyzna","Posiada","Trzeźwy","21",NA,NA,NA,NA
108778162,"1","1","Kierujący","1940-06-21","Mężczyzna","Posiada","Trzeźwy","49","Nieudzielenie pierwszeństwa przejazdu","Mandat karny",NA,NA
108778162,"2","1","Kierujący","1978-05-17","Mężczyzna","Nie wymagane","Trzeźwy",NA,NA,NA,NA,NA
108782143,"1","1","Kierujący","1967-07-28","Mężczyzna","Posiada","Trzeźwy","35","Nieprawidłowe przejeżdżanie przejazdu dla rowerzystów","Mandat karny",NA,NA
108782143,"2","1","Kierujący","1981-04-11","Mężczyzna","Nie wymagane","Trzeźwy",NA,NA,NA,NA,NA
108782157,"1","1","Kierujący","1985-10-02","Mężczyzna","Posiada","Trzeźwy","17","Nieudzielenie pierwszeństwa przejazdu","Mandat karny",NA,NA
108782157,"2","1","Kierujący","1970-03-14","Mężczyzna","Nie wymagane","Trzeźwy",NA,NA,NA,NA,NA
108785595,"1","1","Kierujący","1961-03-24","Kobieta","Nie wymagane","Trzeźwy",NA,"Nieudzielenie pierwszeństwa przejazdu","Pouczenie",NA,NA
108785595,"2","1","Kierujący","Nieustalona","Nie ustalono",NA,"Trzeźwy",NA,NA,NA,NA,NA
108788909,"1","1","Kierujący","1948-11-24","Mężczyzna","Nie wymagane","Trzeźwy",NA,"Nieudzielenie pierwszeństwa przejazdu","Dochodzenie","Ranny lekko",NA
108788909,"2","1","Kierujący","1980-08-17","Kobieta","Posiada","Trzeźwy","21",NA,NA,NA,NA
108794619,"1","1","Kierujący","Nieustalona","Nie ustalono",NA,"Trzeźwy",NA,NA,"Dochodzenie",NA,NA
108794653,"1","1","Kierujący","2001-10-25","Mężczyzna","Posiada","Trzeźwy","1","Niezachowanie bezp. odl. między pojazdami","Wniosek o ukaranie",NA,NA
108794653,"2","1","Kierujący","1982-02-15","Mężczyzna","Nie wymagane","Trzeźwy",NA,NA,NA,NA,NA
108794695,"1","1","Kierujący","1956-11-19","Kobieta","Posiada","Trzeźwy","30","Nieprawidłowe: wyprzedzanie","Mandat karny",NA,NA
108794695,"2","1","Kierujący","1980-08-24","Kobieta","Nie wymagane","Trzeźwy",NA,NA,NA,NA,NA
