"Id","ID pojazdu","ID pasażera","Rola","Data urodzenia","Płeć","Uprawnienia do prowadzenia pojazdu","Pod wpływem","Liczba lat kierowania","Przyczyna wypadku","Kara","Obrażenia"
95943071,"2","1","Kierujący","1941-03-05","Mężczyzna","Nie wymagane","Alkoholu",NA,NA,"Wniosek o ukaranie",NA
95993992,"1","1","Kierujący","1949-11-09","Mężczyzna","Posiada","Trzeźwy","46",NA,NA,NA
95993992,"2","1","Kierujący","1972-07-16","Mężczyzna","Posiada","Trzeźwy",NA,"Jazda po niewłaściwej stronie drogi","Wniosek o ukaranie",NA
96047153,"1","1","Kierujący","1948-01-01","Mężczyzna","Posiada","Trzeźwy","8",NA,NA,NA
96047153,"2","1","Kierujący","1986-11-24","Mężczyzna","Posiada","Trzeźwy","8",NA,NA,NA
96047153,"3","1","Kierujący","1983-10-13","Mężczyzna","Nie wymagane","Trzeźwy",NA,"Nieprawidłowe: przejeżdżanie przejścia dla pieszych","Mandat karny",NA
96050964,"1","1","Kierujący","1984-04-04","Mężczyzna","Nie posiada","Alkoholu",NA,NA,"Dochodzenie","Ranny lekko"
96050964,"2","1","Kierujący","1972-04-07","Mężczyzna","Posiada","Trzeźwy","12","Nieudzielenie pierwszeństwa przejazdu","Dochodzenie",NA
96052129,"1","1","Kierujący","1968-11-05","Mężczyzna","Posiada","Trzeźwy","18",NA,NA,NA
96052129,"2","1","Kierujący","1999-08-09","Mężczyzna","Posiada","Trzeźwy","2","Nieudzielenie pierwszeństwa przejazdu","Inny organ",NA
96054916,"1","1","Kierujący","1992-09-05","Mężczyzna","Nie wymagane","Trzeźwy",NA,NA,NA,"Ranny lekko"
96054916,"2","1","Kierujący","1982-11-17","Mężczyzna","Posiada","Trzeźwy","12","Nieprawidłowe: omijanie","Dochodzenie",NA
96054943,"1","1","Kierujący","1976-06-17","Kobieta","Posiada","Trzeźwy","18",NA,NA,NA
96054943,"2","1","Kierujący","1992-09-10","Mężczyzna","Nie wymagane","Trzeźwy",NA,"Nieprawidłowe: omijanie","Mandat karny",NA
96066180,"1","1","Kierujący","1956-10-06","Mężczyzna","Nie wymagane","Trzeźwy",NA,NA,NA,NA
96066180,"2","1","Kierujący","1949-08-06","Mężczyzna","Posiada","Trzeźwy","46","Nieudzielenie pierwszeństwa przejazdu","Mandat karny",NA
96079023,"1","1","Kierujący","1986-07-08","Mężczyzna","Posiada","Trzeźwy",NA,"Nieprawidłowe: cofanie","Wniosek o ukaranie",NA
96079023,"2","1","Kierujący","1994-10-11","Mężczyzna","Nie wymagane","Trzeźwy",NA,NA,NA,"Ranny lekko"
96152438,"1","1","Kierujący","1951-11-13","Mężczyzna","Nie wymagane","Trzeźwy",NA,NA,NA,NA
96152438,"2","1","Kierujący","1955-12-07","Mężczyzna","Posiada","Trzeźwy","39","Niezachowanie bezp. odl. między pojazdami","Mandat karny",NA
96214117,"1","1","Kierujący","1977-02-05","Kobieta","Nie wymagane","Trzeźwy",NA,NA,NA,NA
96214117,"2","1","Kierujący","1958-04-07","Kobieta","Nie wymagane","Trzeźwy","32","Nieudzielenie pierwszeństwa przejazdu","Mandat karny",NA
96245355,"1","1","Kierujący","1980-01-23","Mężczyzna","Posiada","Trzeźwy","11",NA,NA,NA
96245355,"2","1","Kierujący","1949-03-23","Mężczyzna","Nie wymagane","Trzeźwy",NA,"Nieprawidłowe: skręcanie",NA,NA
96294006,"1","1","Kierujący","1990-12-10","Mężczyzna","Posiada","Trzeźwy","2",NA,NA,NA
96294006,"2","1","Kierujący","1971-10-08","Mężczyzna","Nie wymagane","Trzeźwy",NA,NA,"Wniosek o ukaranie",NA
96311135,"1","1","Kierujący","1960-09-07","Kobieta","Nie wymagane","Trzeźwy",NA,NA,NA,"Ranny ciężko"
96311135,"2","1","Kierujący","1980-03-26","Mężczyzna","Posiada","Trzeźwy","14","Nieprawidłowe: wyprzedzanie","Dochodzenie",NA
96360977,"1","1","Kierujący","1931-05-17","Mężczyzna","Posiada","Trzeźwy","50",NA,NA,NA
96360977,"2","1","Kierujący","1933-03-10","Mężczyzna","Nie wymagane","Trzeźwy",NA,"Nieprawidłowe: skręcanie","Pouczenie",NA
96376207,"1","1","Kierujący","1975-06-21","Mężczyzna","Nie wymagane","Trzeźwy",NA,NA,NA,"Ranny lekko"
96376207,"2","1","Kierujący","1972-07-14","Mężczyzna","Posiada","Trzeźwy","20","Nieudzielenie pierwszeństwa przejazdu","Mandat karny",NA
96470972,"1","1","Kierujący","1965-05-21","Mężczyzna","Nie wymagane","Trzeźwy",NA,NA,NA,"Ranny lekko"
96470972,"2","1","Kierujący","1993-06-08","Mężczyzna","Posiada","Trzeźwy","1","Niezachowanie bezp. odl. między pojazdami","Dochodzenie",NA
96475964,"1","1","Kierujący","1984-09-19","Mężczyzna","Posiada","Trzeźwy",NA,NA,NA,NA
96475964,"2","1","Kierujący","1977-05-26","Mężczyzna","Nie wymagane","Trzeźwy",NA,"Nieprawidłowe: omijanie","Wniosek o ukaranie",NA
96577471,"1","1","Kierujący","1983-07-04","Kobieta","Nie wymagane","Trzeźwy",NA,NA,NA,"Ranny lekko"
96577471,"2","1","Kierujący","Nieustalona","Nie ustalono",NA,"Trzeźwy",NA,"Nieudzielenie pierwszeństwa przejazdu","Dochodzenie",NA
96581507,"1","1","Kierujący","1970-04-25","Mężczyzna","Posiada","Trzeźwy","33","Nieudzielenie pierwszeństwa przejazdu","Mandat karny",NA
96581507,"2","1","Kierujący","1961-05-11","Mężczyzna","Posiada","Trzeźwy","15",NA,NA,NA
96589151,"1","1","Kierujący","1966-01-17","Mężczyzna","Nie wymagane","Trzeźwy",NA,NA,NA,"Ranny lekko"
96589151,"2","1","Kierujący","1984-01-18","Mężczyzna","Posiada","Trzeźwy",NA,"Nieudzielenie pierwszeństwa przejazdu","Mandat karny",NA
96602447,"1","1","Kierujący","1994-04-03","Mężczyzna","Posiada","Trzeźwy","6","Nieudzielenie pierwszeństwa pieszemu","Dochodzenie",NA
96603271,"1","1","Kierujący","1979-07-04","Mężczyzna","Nie wymagane","Trzeźwy",NA,NA,NA,"Ranny lekko"
96603271,"2","1","Kierujący","1946-10-01","Mężczyzna","Posiada","Trzeźwy",NA,"Nieudzielenie pierwszeństwa przejazdu","Dochodzenie",NA
96622001,"1","1","Kierujący","1976-04-22","Kobieta","Posiada","Trzeźwy","8",NA,NA,NA
96622001,"2","1","Kierujący","1958-01-12","Mężczyzna","Nie posiada","Alkoholu",NA,"Jazda po niewłaściwej stronie drogi","Wniosek o ukaranie",NA
96628966,"1","1","Kierujący","1945-12-11","Mężczyzna","Nie wymagane","Trzeźwy",NA,NA,NA,NA
96628966,"2","1","Kierujący","1938-03-24","Mężczyzna","Posiada","Trzeźwy","33","Niezachowanie bezp. odl. między pojazdami","Mandat karny",NA
96661897,"1","1","Kierujący","2000-08-16","Mężczyzna","Nie posiada","Trzeźwy",NA,"Nieudzielenie pierwszeństwa przejazdu",NA,"Ranny lekko"
96661897,"2","1","Kierujący","1978-05-13","Mężczyzna","Posiada","Trzeźwy","12",NA,NA,NA
96661932,"1","1","Kierujący","Nieustalona","Nie ustalono",NA,"Trzeźwy",NA,"Nieprawidłowe: przejeżdżanie przejścia dla pieszych","Wniosek o ukaranie",NA
96661932,"2","1","Kierujący","1988-06-14","Kobieta","Posiada","Trzeźwy","4",NA,NA,NA
96663470,"1","1","Kierujący","1962-02-03","Mężczyzna","Nie wymagane","Trzeźwy",NA,NA,NA,"Ranny lekko"
96663470,"2","1","Kierujący","1972-11-03","Kobieta","Posiada","Trzeźwy","12","Nieudzielenie pierwszeństwa przejazdu","Wniosek o ukaranie",NA
96663477,"1","1","Pasażer","1981-04-05","Kobieta",NA,"Trzeźwy",NA,NA,NA,"Ranny lekko"
96663477,"1","2","Kierujący","1967-08-30","Mężczyzna","Posiada","Trzeźwy","26",NA,NA,NA
96663477,"2","1","Kierujący","Nieustalona","Mężczyzna",NA,"Trzeźwy",NA,"Nieudzielenie pierwszeństwa przejazdu","Dochodzenie",NA
96663489,"1","1","Kierujący","1942-11-06","Mężczyzna","Nie wymagane","Trzeźwy",NA,NA,NA,"Ranny lekko"
96663489,"2","1","Kierujący","1952-04-02","Mężczyzna","Posiada","Trzeźwy","41","Nieudzielenie pierwszeństwa przejazdu","Dochodzenie",NA
96667003,"1","1","Kierujący","1978-08-16","Kobieta","Nie wymagane","Trzeźwy",NA,NA,NA,NA
96667003,"2","1","Kierujący","1983-03-27","Mężczyzna","Posiada","Trzeźwy",NA,"Nieudzielenie pierwszeństwa przejazdu","Wniosek o ukaranie",NA
96668814,"1","1","Kierujący","1954-11-07","Mężczyzna","Nie wymagane","Trzeźwy",NA,NA,NA,NA
96668814,"2","1","Kierujący","1971-03-15","Mężczyzna","Posiada","Trzeźwy","11","Nieudzielenie pierwszeństwa przejazdu","Wniosek o ukaranie",NA
96669175,"1","1","Kierujący","1953-12-10","Mężczyzna","Posiada","Trzeźwy","36",NA,NA,NA
96669175,"2","1","Kierujący","2002-07-07","Mężczyzna","Nie posiada","Trzeźwy",NA,"Nieudzielenie pierwszeństwa przejazdu","Inny organ",NA
96671293,"1","1","Kierujący","1955-06-05","Mężczyzna","Posiada","Trzeźwy",NA,NA,NA,NA
96671293,"2","1","Kierujący","2006-01-15","Mężczyzna","Nie wymagane","Trzeźwy",NA,NA,"Mandat karny","Ranny lekko"
96673080,"1","1","Kierujący","1973-05-10","Mężczyzna","Nie wymagane","Alkoholu",NA,NA,"Mandat karny",NA
96681035,"1","1","Kierujący","1960-01-05","Mężczyzna","Nie wymagane","Trzeźwy",NA,NA,NA,"Ranny lekko"
96686018,"1","1","Kierujący","1997-08-10","Mężczyzna","Nie posiada","Trzeźwy",NA,NA,NA,NA
96686018,"2","1","Kierujący","1957-05-22","Mężczyzna","Posiada","Trzeźwy","11","Nieprawidłowe: przejeżdżanie przejścia dla rowerów","Wniosek o ukaranie",NA
96686635,"1","1","Kierujący","1942-01-16","Mężczyzna","Nie wymagane","Trzeźwy",NA,NA,NA,"Ranny lekko"
96686635,"2","1","Kierujący","1949-01-30","Mężczyzna","Nie wymagane","Trzeźwy","44","Nieudzielenie pierwszeństwa pieszemu","Mandat karny",NA
96688092,"1","1","Kierujący","1955-04-16","Mężczyzna","Nie wymagane","Trzeźwy",NA,NA,NA,"Ranny lekko"
96688092,"2","1","Kierujący","1969-09-26","Mężczyzna","Nie posiada","Alkoholu",NA,"Nieudzielenie pierwszeństwa przejazdu","Wniosek o ukaranie",NA
96698672,"1","1","Kierujący","Nieustalona","Nie ustalono","Nie wymagane","Trzeźwy",NA,"Nieudzielenie pierwszeństwa pieszemu","Wniosek o ukaranie",NA
96706969,"1","1","Kierujący","1973-05-30","Kobieta","Nie wymagane","Trzeźwy",NA,NA,NA,NA
96706969,"2","1","Kierujący","1979-09-28","Mężczyzna","Posiada","Trzeźwy","3","Nieudzielenie pierwszeństwa przejazdu","Mandat karny",NA
96713013,"1","1","Kierujący","Nieustalona","Nie ustalono",NA,"Trzeźwy",NA,"Nieudzielenie pierwszeństwa przejazdu","Dochodzenie",NA
96713013,"2","1","Kierujący","2000-04-01","Mężczyzna","Nie wymagane","Trzeźwy",NA,NA,NA,"Ranny ciężko"
96714431,"1","1","Kierujący","1988-10-22","Mężczyzna","Posiada","Trzeźwy","5","Nieudzielenie pierwszeństwa przejazdu","Dochodzenie",NA
96714431,"2","1","Kierujący","1952-02-20","Kobieta","Nie wymagane","Trzeźwy",NA,NA,NA,"Ranny lekko"
96719599,"1","1","Kierujący","1965-12-21","Mężczyzna","Posiada","Trzeźwy","32",NA,NA,NA
96719599,"2","1","Kierujący","1994-11-04","Mężczyzna","Nie wymagane","Trzeźwy",NA,"Nieudzielenie pierwszeństwa przejazdu","Mandat karny",NA
96727998,"1","1","Kierujący","1980-09-08","Kobieta","Posiada","Trzeźwy","10",NA,NA,NA
96727998,"2","1","Kierujący","1996-01-11","Mężczyzna","Nie wymagane","Trzeźwy",NA,"Nieudzielenie pierwszeństwa przejazdu","Pouczenie",NA
96751088,"1","1","Kierujący","1923-09-22","Mężczyzna","Nie wymagane","Trzeźwy",NA,NA,NA,"Ranny lekko"
96751088,"2","1","Kierujący","1957-02-22","Mężczyzna","Posiada","Trzeźwy","12","Nieudzielenie pierwszeństwa przejazdu","Dochodzenie",NA
96765210,"1","1","Kierujący","1944-07-25","Kobieta","Nie wymagane","Trzeźwy",NA,"Nieprawidłowe: przejeżdżanie przejścia dla pieszych","Pouczenie",NA
96765210,"2","1","Kierujący","1991-01-18","Mężczyzna","Posiada","Trzeźwy","3",NA,NA,NA
96783936,"1","1","Kierujący","1979-10-05","Mężczyzna","Posiada","Trzeźwy","12","Nieudzielenie pierwszeństwa przejazdu","Wniosek o ukaranie",NA
96783936,"2","1","Kierujący","1968-12-08","Mężczyzna","Posiada","Trzeźwy",NA,NA,NA,NA
96784307,"1","1","Kierujący","1988-01-08","Kobieta","Nie wymagane","Trzeźwy","0",NA,NA,NA
96784307,"2","1","Kierujący","2001-08-24","Mężczyzna","Nie posiada","Trzeźwy",NA,"Nieprawidłowe: wymijanie","Dochodzenie","Ranny lekko"
96786151,"1","1","Kierujący","1959-08-23","Mężczyzna","Posiada","Trzeźwy","30",NA,NA,NA
96786151,"2","1","Kierujący","1992-09-01","Mężczyzna","Posiada","Trzeźwy","1","Niedostosowanie prędkości do warunków ruchu","Mandat karny",NA
96786587,"1","1","Kierujący","1980-01-08","Kobieta","Posiada","Trzeźwy","4",NA,NA,NA
96786587,"2","1","Kierujący","1928-02-06","Mężczyzna","Nie wymagane","Trzeźwy",NA,"Nieudzielenie pierwszeństwa przejazdu","Pouczenie",NA
96788636,"1","1","Kierujący","1993-09-01","Mężczyzna","Nie wymagane","Alkoholu",NA,"Nieprawidłowe: omijanie","Dochodzenie",NA
96791093,"1","1","Kierujący","1983-01-12","Mężczyzna","Nie wymagane","Trzeźwy",NA,NA,NA,"Ranny lekko"
96791093,"2","1","Kierujący","1966-10-21","Kobieta","Posiada","Trzeźwy","8","Nieudzielenie pierwszeństwa przejazdu","Wniosek o ukaranie",NA
96791603,"1","1","Kierujący","1990-12-02","Mężczyzna","Posiada","Trzeźwy","3",NA,NA,NA
96791603,"2","1","Kierujący","1978-09-10","Mężczyzna","Posiada","Trzeźwy","16","Niedostosowanie prędkości do warunków ruchu","Mandat karny",NA
96791625,"1","1","Kierujący","1974-08-26","Mężczyzna","Posiada","Trzeźwy","21","Nieudzielenie pierwszeństwa przejazdu","Mandat karny",NA
96791625,"2","1","Kierujący","1998-10-28","Mężczyzna","Posiada","Trzeźwy","2",NA,NA,NA
96791782,"1","1","Kierujący","1957-10-06","Kobieta","Nie wymagane","Trzeźwy",NA,NA,NA,NA
96791782,"2","1","Kierujący","1936-06-05","Mężczyzna","Posiada","Trzeźwy",NA,"Nieudzielenie pierwszeństwa przejazdu","Dochodzenie",NA
96792764,"1","1","Kierujący","2002-12-27","Mężczyzna","Nie posiada","Trzeźwy",NA,NA,NA,"Ranny lekko"
96792764,"2","1","Kierujący","1966-10-06","Kobieta","Posiada","Trzeźwy","15","Nieudzielenie pierwszeństwa przejazdu","Wniosek o ukaranie",NA
96792981,"1","1","Kierujący","1943-06-16","Mężczyzna","Posiada","Trzeźwy","37",NA,NA,NA
96792981,"2","1","Kierujący","1978-05-02","Kobieta","Nie wymagane","Trzeźwy",NA,"Nieprawidłowe: przejeżdżanie przejścia dla pieszych","Wniosek o ukaranie",NA
96793765,"1","1","Kierujący","1982-08-13","Kobieta","Nie wymagane","Trzeźwy",NA,NA,NA,NA
96793765,"2","1","Kierujący","1993-12-10","Kobieta","Posiada","Trzeźwy","1","Nieudzielenie pierwszeństwa przejazdu","Dochodzenie",NA
96795160,"1","1","Kierujący","1950-02-13","Mężczyzna","Nie posiada","Trzeźwy",NA,NA,NA,NA
96795160,"2","1","Kierujący","1958-07-12","Mężczyzna","Posiada","Trzeźwy","8","Nieprawidłowe: cofanie","Pouczenie",NA
96795465,"1","1","Kierujący","1947-06-24","Mężczyzna","Nie wymagane","Trzeźwy",NA,"Nieprawidłowe: skręcanie","Mandat karny",NA
96795465,"2","1","Kierujący","1984-11-03","Kobieta","Posiada","Trzeźwy","9",NA,NA,NA
96795690,"1","1","Kierujący","1979-01-10","Mężczyzna","Nie wymagane","Trzeźwy",NA,NA,NA,NA
96795690,"2","1","Kierujący","1958-03-31","Mężczyzna","Posiada","Trzeźwy","34","Niezachowanie bezp. odl. między pojazdami","Mandat karny",NA
96796397,"1","1","Kierujący","1953-08-05","Mężczyzna","Posiada","Trzeźwy","39",NA,NA,NA
96796397,"2","1","Kierujący","1966-05-15","Mężczyzna","Posiada","Trzeźwy","28","Wjazd przy czerwonym świetle","Dochodzenie","Ranny lekko"
96796456,"1","1","Kierujący","1949-11-13","Mężczyzna","Nie wymagane","Trzeźwy",NA,NA,NA,"Ranny lekko"
96796456,"2","1","Kierujący","1951-11-20","Mężczyzna","Posiada","Trzeźwy","40","Nieudzielenie pierwszeństwa przejazdu","Wniosek o ukaranie",NA
96796770,"1","1","Kierujący","1984-07-04","Mężczyzna","Posiada","Trzeźwy","9",NA,NA,NA
96796770,"2","1","Kierujący","1958-01-25","Kobieta","Nie wymagane","Trzeźwy",NA,"Nieprawidłowe: skręcanie","Mandat karny",NA
96797187,"1","1","Kierujący","1988-10-23","Mężczyzna","Nie wymagane","Trzeźwy",NA,NA,"Dochodzenie","Ranny ciężko"
96797213,"1","1","Kierujący","1943-02-08","Mężczyzna","Posiada","Trzeźwy","51","Nieprawidłowe: przejeżdżanie przejścia dla rowerów","Dochodzenie",NA
96797213,"2","1","Kierujący","1973-01-13","Mężczyzna","Nie wymagane","Trzeźwy",NA,NA,NA,"Ranny lekko"
96797385,"1","1","Kierujący","1991-07-23","Kobieta","Nie wymagane","Trzeźwy",NA,NA,NA,NA
96797385,"2","1","Kierujący","1971-02-22","Kobieta","Posiada","Trzeźwy","22","Nieprawidłowe: wyprzedzanie","Mandat karny",NA
96797385,"3","1","Kierujący","1972-04-14","Kobieta","Posiada","Trzeźwy","9",NA,NA,NA
96797651,"1","1","Kierujący","1929-01-03","Kobieta","Nie wymagane","Trzeźwy",NA,"Nieprawidłowe: przejeżdżanie przejścia dla pieszych","Pouczenie","Ranny lekko"
96797651,"2","1","Kierujący","1979-05-25","Kobieta","Posiada","Trzeźwy",NA,NA,NA,NA
96797669,"1","1","Kierujący","1958-01-17","Mężczyzna","Posiada","Trzeźwy","35",NA,NA,NA
96797669,"2","1","Kierujący","2001-04-06","Mężczyzna","Nie posiada","Trzeźwy",NA,"Nieudzielenie pierwszeństwa przejazdu",NA,"Ranny ciężko"
96797777,"1","1","Kierujący","1946-05-23","Mężczyzna","Posiada","Trzeźwy","28",NA,NA,NA
96797777,"2","1","Kierujący","2002-09-23","Mężczyzna","Nie wymagane","Trzeźwy",NA,"Nieprawidłowe: omijanie","Inny organ",NA
96798596,"1","1","Kierujący","1944-02-20","Mężczyzna","Nie wymagane","Trzeźwy",NA,"Nieprawidłowe: przejeżdżanie przejścia dla pieszych","Mandat karny",NA
96798596,"2","1","Kierujący","1966-02-09","Mężczyzna","Posiada","Trzeźwy","29",NA,NA,NA
96798670,"1","1","Kierujący","1970-11-06","Mężczyzna","Nie wymagane","Trzeźwy",NA,NA,NA,"Ranny lekko"
96798670,"2","1","Kierujący","Nieustalona","Nie ustalono",NA,"Trzeźwy",NA,NA,"Wniosek o ukaranie",NA
96799650,"1","1","Kierujący","1998-11-30","Mężczyzna","Nie wymagane","Trzeźwy",NA,NA,NA,NA
96799650,"2","1","Kierujący","1949-11-01","Mężczyzna","Posiada","Trzeźwy","20","Nieudzielenie pierwszeństwa przejazdu","Mandat karny",NA
96800842,"1","1","Kierujący","2001-05-16","Mężczyzna","Nie wymagane","Trzeźwy",NA,NA,NA,NA
96800842,"2","1","Kierujący","1981-08-04","Kobieta","Posiada","Trzeźwy","9",NA,"Mandat karny",NA
96801064,"1","1","Kierujący","1937-02-18","Mężczyzna","Posiada","Trzeźwy",NA,"Nieudzielenie pierwszeństwa przejazdu","Wniosek o ukaranie",NA
96801064,"2","1","Kierujący","1956-07-03","Mężczyzna","Posiada","Trzeźwy",NA,NA,NA,NA
96801212,"1","1","Kierujący","1979-12-24","Kobieta","Nie wymagane","Trzeźwy",NA,NA,NA,NA
96801212,"2","1","Kierujący","1945-04-10","Mężczyzna","Posiada","Trzeźwy","31","Nieudzielenie pierwszeństwa przejazdu","Mandat karny",NA
96801350,"1","1","Kierujący","1952-05-16","Kobieta","Posiada","Trzeźwy","13",NA,NA,NA
96801350,"2","1","Kierujący","1936-01-02","Kobieta","Nie wymagane","Trzeźwy",NA,"Nieprawidłowe: przejeżdżanie przejścia dla pieszych","Dochodzenie","Ranny ciężko"
96801352,"1","1","Kierujący","1975-02-04","Mężczyzna","Nie wymagane","Trzeźwy",NA,"Nieudzielenie pierwszeństwa przejazdu","Mandat karny",NA
96801352,"2","1","Kierujący","1977-10-03","Kobieta","Posiada","Trzeźwy","20",NA,NA,NA
96801865,"1","1","Kierujący","1950-07-25","Mężczyzna","Posiada","Trzeźwy","42",NA,NA,NA
96801865,"2","1","Kierujący","1986-01-26","Mężczyzna","Nie wymagane","Alkoholu",NA,"Niedostosowanie prędkości do warunków ruchu","Wniosek o ukaranie",NA
96803385,"1","1","Kierujący","1970-05-08","Kobieta","Posiada","Trzeźwy","6",NA,NA,NA
96803385,"2","1","Kierujący","1997-12-17","Mężczyzna","Nie posiada","Trzeźwy",NA,"Nieudzielenie pierwszeństwa przejazdu","Inny organ",NA
96803450,"1","1","Kierujący","1976-12-25","Mężczyzna","Posiada","Trzeźwy","15",NA,NA,NA
96803450,"2","1","Kierujący","2002-06-05","Kobieta","Nie posiada","Trzeźwy",NA,"Nieudzielenie pierwszeństwa przejazdu","Inny organ","Ranny lekko"
96803459,"1","1","Kierujący","1982-04-17","Mężczyzna","Posiada","Trzeźwy","13",NA,NA,NA
96803459,"2","1","Kierujący","1932-01-18","Mężczyzna","Nie wymagane","Trzeźwy",NA,"Nieudzielenie pierwszeństwa przejazdu","Pouczenie",NA
96803572,"1","1","Kierujący","1992-09-01","Kobieta","Nie wymagane","Trzeźwy",NA,NA,NA,"Ranny lekko"
96803572,"2","1","Kierujący","1980-12-24","Kobieta","Posiada","Trzeźwy","1","Nieudzielenie pierwszeństwa przejazdu","Dochodzenie",NA
96804702,"1","1","Kierujący","1954-12-10","Mężczyzna","Nie wymagane","Trzeźwy",NA,NA,NA,"Ranny lekko"
96804702,"2","1","Kierujący","1966-01-31","Kobieta","Posiada","Trzeźwy","26","Nieprawidłowe: wyprzedzanie","Dochodzenie",NA
96806253,"1","1","Kierujący","1952-07-19","Mężczyzna","Nie wymagane","Alkoholu",NA,NA,"Dochodzenie","Ranny lekko"
96806431,"1","1","Kierujący","2000-11-20","Mężczyzna","Nie wymagane","Trzeźwy",NA,"Nieudzielenie pierwszeństwa pieszemu","Dochodzenie",NA
96806541,"1","1","Kierujący","1999-06-02","Kobieta","Posiada","Trzeźwy","3","Nieudzielenie pierwszeństwa przejazdu","Wniosek o ukaranie","Ranny lekko"
96806541,"2","1","Kierujący","1992-09-09","Kobieta","Posiada","Trzeźwy","1",NA,NA,NA
96806696,"1","1","Kierujący","1967-11-23","Mężczyzna","Nie wymagane","Trzeźwy",NA,"Niedostosowanie prędkości do warunków ruchu",NA,"Ranny lekko"
96808517,"1","1","Kierujący","1990-03-29","Mężczyzna","Posiada","Trzeźwy","2",NA,NA,NA
96808517,"2","1","Kierujący","1953-01-18","Kobieta","Nie wymagane","Trzeźwy",NA,"Nieudzielenie pierwszeństwa przejazdu","Mandat karny",NA
96808803,"1","1","Kierujący","1969-04-28","Kobieta","Nie wymagane","Trzeźwy",NA,NA,NA,"Ranny lekko"
96808803,"2","1","Kierujący","1977-12-28","Mężczyzna","Posiada","Trzeźwy",NA,"Nieudzielenie pierwszeństwa przejazdu","Dochodzenie",NA
96811407,"1","1","Kierujący","1964-12-27","Mężczyzna","Nie wymagane","Alkoholu",NA,NA,NA,"Ranny lekko"
96812916,"1","1","Kierujący","1960-08-22","Kobieta","Nie wymagane","Trzeźwy",NA,NA,NA,NA
96812916,"2","1","Kierujący","1950-01-01","Mężczyzna","Posiada","Trzeźwy","20","Nieudzielenie pierwszeństwa przejazdu","Mandat karny",NA
