"Id","ID pojazdu","ID pasażera","Rola","Data urodzenia","Płeć","Uprawnienia do prowadzenia pojazdu","Liczba lat kierowania","Przyczyna wypadku","Kara","Pod wpływem","Obrażenia"
94128863,"1","1","Kierujący","1972-05-20","Mężczyzna","Nie wymagane",NA,"Nieprawidłowe: przejeżdżanie przejścia dla pieszych","Mandat karny","Trzeźwy",NA
94128863,"2","1","Kierujący","1984-10-23","Kobieta","Posiada","1",NA,NA,"Trzeźwy",NA
94140042,"1","1","Kierujący","1968-05-26","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy",NA
94140042,"2","1","Kierujący","1988-09-25","Mężczyzna","Posiada","5",NA,NA,"Trzeźwy",NA
94153017,"1","1","Kierujący","1993-02-11","Mężczyzna","Nie posiada",NA,"Nieudzielenie pierwszeństwa przejazdu","Wniosek o ukaranie","Trzeźwy",NA
94153017,"2","1","Kierujący","1941-12-20","Mężczyzna","Posiada","52",NA,NA,"Trzeźwy",NA
94165725,"1","1","Kierujący","2003-02-08","Kobieta","Nie posiada",NA,"Nieudzielenie pierwszeństwa przejazdu","Dochodzenie","Trzeźwy","Ranny lekko"
94165725,"2","1","Kierujący","1984-03-21","Mężczyzna","Posiada","8",NA,NA,"Trzeźwy",NA
94179855,"1","1","Kierujący","1999-12-25","Mężczyzna","Nie wymagane",NA,NA,"Inny organ","Trzeźwy","Ranny lekko"
94179855,"1","2","Pasażer","1998-03-05","Mężczyzna",NA,NA,NA,NA,"Trzeźwy","Ranny lekko"
94190811,"1","1","Kierujący","1976-12-07","Mężczyzna","Posiada","17","Nieudzielenie pierwszeństwa przejazdu","Mandat karny","Trzeźwy",NA
94190811,"2","1","Kierujący","1977-09-23","Kobieta","Nie wymagane",NA,NA,NA,"Trzeźwy",NA
94191253,"1","1","Kierujący","1976-03-24","Mężczyzna","Nie wymagane",NA,"Nieudzielenie pierwszeństwa pieszemu","Dochodzenie","Trzeźwy","Ranny lekko"
94191744,"1","1","Kierujący","1982-04-17","Mężczyzna","Posiada",NA,"Niezachowanie bezp. odl. między pojazdami","Mandat karny","Trzeźwy",NA
94191744,"2","1","Kierujący","1983-01-25","Mężczyzna","Posiada",NA,"Nieprawidłowe: skręcanie","Mandat karny","Trzeźwy",NA
94192609,"1","1","Kierujący","1985-02-14","Kobieta","Posiada","1","Niezachowanie bezp. odl. między pojazdami","Dochodzenie","Trzeźwy",NA
94192609,"2","1","Kierujący","1956-03-17","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy","Śmierć w ciągu 30 dni"
94195370,"1","1","Kierujący","1945-08-08","Kobieta","Nie wymagane",NA,NA,"Mandat karny","Trzeźwy",NA
94195370,"2","1","Kierujący","1978-07-01","Kobieta","Posiada","15",NA,NA,"Trzeźwy",NA
94212299,"1","1","Kierujący","1929-01-07","Mężczyzna","Nie wymagane",NA,"Nieudzielenie pierwszeństwa przejazdu","Dochodzenie","Trzeźwy","Ranny ciężko"
94212299,"2","1","Kierujący","1948-07-30","Mężczyzna","Posiada","44",NA,NA,"Trzeźwy",NA
94316972,"1","1","Kierujący","1976-06-27","Kobieta","Posiada","17",NA,"Dochodzenie","Trzeźwy",NA
94316972,"2","1","Kierujący","1983-04-25","Kobieta","Posiada","10",NA,NA,"Trzeźwy","Ranny lekko"
94317771,"1","1","Kierujący","1985-03-29","Kobieta","Nie wymagane",NA,"Nieudzielenie pierwszeństwa przejazdu","Pouczenie","Trzeźwy","Ranny lekko"
94317771,"2","1","Kierujący","1951-12-28","Mężczyzna","Posiada","11",NA,NA,"Trzeźwy",NA
94317891,"1","1","Kierujący","1976-04-30","Mężczyzna","Posiada","17","Nieprawidłowe: wyprzedzanie","Mandat karny","Trzeźwy",NA
94317891,"2","1","Kierujący","1983-01-07","Kobieta","Nie wymagane",NA,NA,NA,"Trzeźwy",NA
94318279,"1","1","Kierujący","1940-02-21","Mężczyzna","Posiada","33","Nieudzielenie pierwszeństwa przejazdu","Dochodzenie","Trzeźwy","Śmierć w ciągu 30 dni"
94318279,"2","1","Kierujący","1987-06-24","Kobieta","Posiada","3",NA,NA,"Trzeźwy",NA
94319153,"1","1","Kierujący","1980-09-26","Mężczyzna","Nie wymagane",NA,"Nieudzielenie pierwszeństwa przejazdu","Mandat karny","Trzeźwy",NA
94319153,"2","1","Kierujący","1985-08-06","Kobieta","Posiada","3",NA,NA,"Trzeźwy",NA
94319482,"1","1","Kierujący","1995-05-28","Mężczyzna","Nie wymagane",NA,NA,"Pouczenie","Trzeźwy",NA
94319482,"1","2","Kierujący","1978-12-11","Kobieta","Posiada",NA,NA,NA,"Trzeźwy",NA
94320173,"1","1","Kierujący","1955-12-12","Kobieta","Nie wymagane",NA,"Nieudzielenie pierwszeństwa przejazdu","Wniosek o ukaranie","Trzeźwy",NA
94320173,"2","1","Kierujący","1977-11-14","Mężczyzna","Posiada","14",NA,NA,"Trzeźwy",NA
94321108,"1","1","Kierujący","1954-03-13","Kobieta","Posiada","26","Nieudzielenie pierwszeństwa przejazdu","Mandat karny","Trzeźwy",NA
94321108,"2","1","Kierujący","1939-03-15","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy",NA
94328865,"1","1","Kierujący","1987-12-22","Mężczyzna","Posiada","1",NA,"Wniosek o ukaranie","Trzeźwy",NA
94328865,"2","1","Kierujący","1945-05-12","Mężczyzna","Nie wymagane",NA,"Nieudzielenie pierwszeństwa przejazdu","Mandat karny","Trzeźwy",NA
94329892,"1","1","Kierujący","2000-01-19","Mężczyzna","Posiada","1","Nieudzielenie pierwszeństwa przejazdu","Pouczenie","Trzeźwy",NA
94329892,"2","1","Kierujący","1984-04-12","Mężczyzna","Posiada","3",NA,NA,"Trzeźwy",NA
94330333,"1","1","Kierujący","1986-02-18","Mężczyzna","Posiada","8",NA,"Dochodzenie","Trzeźwy","Ranny lekko"
94332183,"1","1","Kierujący","1981-02-20","Kobieta","Posiada","11","Nieudzielenie pierwszeństwa przejazdu","Mandat karny","Trzeźwy",NA
94332183,"2","1","Kierujący","1995-09-06","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy","Ranny lekko"
94332673,"1","1","Kierujący","Nieustalona","Nie ustalono",NA,NA,"Nieprawidłowe: omijanie","Wniosek o ukaranie","Trzeźwy",NA
94332673,"2","1","Kierujący","1977-04-26","Kobieta","Nie wymagane",NA,NA,NA,"Trzeźwy",NA
94333814,"1","1","Kierujący","1993-07-30","Mężczyzna","Nie posiada",NA,"Nieudzielenie pierwszeństwa przejazdu","Dochodzenie","Trzeźwy","Ranny lekko"
94333814,"2","1","Kierujący","1980-02-27","Mężczyzna","Posiada","14",NA,NA,"Trzeźwy",NA
94335072,"1","1","Kierujący","1971-12-31","Mężczyzna","Nie wymagane",NA,"Nieprawidłowe: przejeżdżanie przejścia dla pieszych","Wniosek o ukaranie","Alkoholu","Ranny lekko"
94335072,"2","1","Kierujący","1969-12-16","Kobieta","Posiada","23",NA,NA,"Trzeźwy",NA
94335115,"1","1","Kierujący","1988-03-20","Kobieta","Nie posiada",NA,NA,NA,"Trzeźwy","Ranny lekko"
94335309,"1","1","Kierujący","1991-03-15","Kobieta","Posiada","2","Nieprawidłowe: cofanie","Dochodzenie","Trzeźwy",NA
94335309,"2","1","Kierujący","1997-07-17","Kobieta","Posiada",NA,NA,NA,"Trzeźwy","Ranny lekko"
94335603,"1","1","Kierujący","1935-02-22","Mężczyzna","Nie wymagane",NA,"Nieprawidłowe: przejeżdżanie przejścia dla rowerów","Mandat karny","Trzeźwy",NA
94335603,"2","1","Kierujący","1949-11-01","Mężczyzna","Posiada","20",NA,NA,"Trzeźwy",NA
94335808,"1","1","Kierujący","1937-08-11","Mężczyzna","Nie wymagane",NA,"Nieudzielenie pierwszeństwa przejazdu","Pouczenie","Trzeźwy","Ranny lekko"
94335808,"2","1","Kierujący","1987-03-28","Mężczyzna","Posiada","1",NA,NA,"Trzeźwy",NA
94336414,"1","1","Kierujący","1974-01-23","Kobieta","Posiada","20","Nieprawidłowe: skręcanie","Mandat karny","Trzeźwy",NA
94336414,"2","1","Kierujący","1971-09-12","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy",NA
94339650,"1","1","Kierujący","1992-07-22","Mężczyzna","Nie wymagane",NA,"Nieprawidłowe: zmienianie pasa ruchu","Dochodzenie","Trzeźwy","Ranny lekko"
94339650,"2","1","Kierujący","1968-08-22","Mężczyzna","Posiada",NA,NA,NA,"Trzeźwy",NA
94339830,"1","1","Kierujący","1947-07-06","Mężczyzna","Nie wymagane",NA,"Nieprawidłowe: skręcanie","Dochodzenie","Trzeźwy","Ranny lekko"
94339830,"2","1","Kierujący","1969-12-04","Mężczyzna","Posiada",NA,NA,NA,"Trzeźwy",NA
94342072,"1","1","Kierujący","2005-08-31","Mężczyzna","Nie wymagane",NA,"Nieprawidłowe: zmienianie pasa ruchu","Dochodzenie","Trzeźwy","Ranny lekko"
94342072,"2","1","Kierujący","1982-02-23","Mężczyzna","Posiada","4",NA,NA,"Trzeźwy",NA
94342799,"1","1","Kierujący","1978-02-08","Kobieta","Nie wymagane",NA,"Nieudzielenie pierwszeństwa przejazdu","Wniosek o ukaranie","Trzeźwy","Ranny lekko"
94342799,"1","2","Kierujący","1980-10-03","Mężczyzna","Posiada",NA,NA,NA,"Trzeźwy",NA
94343220,"1","1","Kierujący","Nieustalona","Mężczyzna",NA,NA,"Nieprawidłowe: omijanie","Dochodzenie","Trzeźwy",NA
94343220,"2","1","Kierujący","Nieustalona","Mężczyzna","Posiada","12",NA,NA,"Trzeźwy",NA
94343745,"1","1","Kierujący","1994-10-05","Mężczyzna","Nie wymagane",NA,"Nieprzestrzeganie innych sygnałów","Dochodzenie","Trzeźwy",NA
94344992,"1","1","Kierujący","Nieustalona","Nie ustalono",NA,NA,NA,"Dochodzenie","Trzeźwy",NA
94345753,"1","1","Kierujący","1970-08-13","Kobieta","Posiada","2","Nieudzielenie pierwszeństwa przejazdu","Dochodzenie","Trzeźwy",NA
94345753,"2","1","Kierujący","1996-07-18","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy","Ranny lekko"
94350135,"1","1","Kierujący","Nieustalona","Nie ustalono",NA,NA,"Nieudzielenie pierwszeństwa przejazdu","Dochodzenie","Trzeźwy",NA
94350135,"2","1","Kierujący","1950-11-08","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy","Ranny lekko"
94351309,"1","1","Kierujący","1953-01-10","Mężczyzna","Posiada","29","Nieudzielenie pierwszeństwa przejazdu","Mandat karny","Trzeźwy",NA
94351309,"2","1","Kierujący","1924-12-10","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy",NA
94351491,"1","1","Kierujący","Nieustalona","Mężczyzna",NA,NA,"Nieprawidłowe: przejeżdżanie przejścia dla pieszych","Wniosek o ukaranie","Trzeźwy",NA
94351491,"2","1","Kierujący","1951-09-25","Mężczyzna","Posiada","20",NA,NA,"Trzeźwy",NA
94351882,"1","1","Kierujący","1954-05-27","Mężczyzna","Nie posiada",NA,"Nieudzielenie pierwszeństwa przejazdu","Wniosek o ukaranie","Alkoholu",NA
94351882,"2","1","Kierujący","1989-04-29","Mężczyzna","Posiada","4",NA,NA,"Trzeźwy",NA
94352114,"1","1","Kierujący","1977-06-10","Mężczyzna","Nie wymagane",NA,"Niezachowanie bezp. odl. między pojazdami","Mandat karny","Trzeźwy",NA
94352114,"2","1","Kierujący","1982-03-07","Mężczyzna","Posiada","4",NA,NA,"Trzeźwy",NA
94354354,"1","1","Kierujący","1948-12-21","Kobieta","Nie wymagane",NA,NA,"Dochodzenie","Trzeźwy","Ranny ciężko"
94354354,"2","1","Kierujący","1971-09-01","Kobieta","Posiada",NA,NA,"Dochodzenie","Trzeźwy",NA
94354569,"1","1","Kierujący","Nieustalona","Mężczyzna",NA,NA,"Niedostosowanie prędkości do warunków ruchu","Dochodzenie","Trzeźwy",NA
94354569,"2","1","Kierujący","1997-04-28","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy","Ranny lekko"
94354601,"1","1","Kierujący","1988-12-27","Mężczyzna","Posiada","2","Nieudzielenie pierwszeństwa przejazdu","Dochodzenie","Trzeźwy",NA
94354601,"2","1","Kierujący","1976-01-07","Kobieta","Posiada","17",NA,NA,"Trzeźwy","Ranny lekko"
94354811,"1","1","Kierujący","1986-09-05","Mężczyzna","Posiada","1","Nieudzielenie pierwszeństwa przejazdu","Mandat karny","Trzeźwy",NA
94354811,"2","1","Kierujący","1968-07-05","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy",NA
94355325,"1","1","Kierujący","1997-08-12","Mężczyzna","Posiada","4","Nieudzielenie pierwszeństwa przejazdu","Dochodzenie","Trzeźwy","Ranny lekko"
94355325,"2","1","Kierujący","1976-08-22","Kobieta","Posiada","6",NA,NA,"Trzeźwy",NA
94355976,"1","1","Kierujący","1996-11-08","Mężczyzna","Posiada","1","Nieudzielenie pierwszeństwa pieszemu","Inny organ","Trzeźwy",NA
94356885,"1","1","Kierujący","1983-07-17","Mężczyzna","Posiada","1","Niezachowanie bezp. odl. między pojazdami","Mandat karny","Trzeźwy",NA
94356885,"2","1","Kierujący","1977-06-04","Mężczyzna","Posiada","15",NA,NA,"Trzeźwy",NA
94356885,"3","1","Kierujący","1977-08-19","Kobieta","Nie wymagane",NA,NA,NA,"Trzeźwy",NA
94357507,"1","1","Kierujący","1948-03-16","Mężczyzna","Nie wymagane",NA,"Niezachowanie bezp. odl. między pojazdami","Mandat karny","Trzeźwy",NA
94357507,"2","1","Kierujący","1971-01-15","Mężczyzna","Posiada",NA,NA,NA,"Trzeźwy",NA
94357927,"1","1","Kierujący","Nieustalona","Nie ustalono",NA,NA,NA,"Dochodzenie","Trzeźwy",NA
94357927,"2","1","Kierujący","1979-01-17","Mężczyzna","Posiada","14",NA,NA,"Trzeźwy",NA
94358048,"1","1","Kierujący","1949-08-22","Mężczyzna","Posiada","40","Nieudzielenie pierwszeństwa przejazdu","Mandat karny","Trzeźwy",NA
94358048,"2","1","Kierujący","1938-08-21","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy",NA
94364966,"1","1","Kierujący","1978-12-10","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy","Ranny lekko"
94364966,"2","1","Kierujący","1961-05-09","Kobieta","Posiada","31",NA,"Dochodzenie","Trzeźwy",NA
94365844,"1","1","Kierujący","Nieustalona","Nie ustalono",NA,NA,"Nieudzielenie pierwszeństwa przejazdu","Wniosek o ukaranie","Trzeźwy",NA
94365844,"2","1","Kierujący","1981-01-20","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy",NA
94366886,"1","1","Kierujący","1974-04-19","Mężczyzna","Posiada",NA,"Nieudzielenie pierwszeństwa przejazdu","Dochodzenie","Trzeźwy",NA
94366886,"2","1","Kierujący","1961-04-13","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy","Ranny lekko"
94368388,"1","1","Kierujący","1991-12-12","Mężczyzna","Posiada","2","Niezachowanie bezp. odl. między pojazdami","Mandat karny","Trzeźwy",NA
94368388,"1","2","Kierujący","1950-09-12","Kobieta","Nie wymagane",NA,NA,NA,"Trzeźwy","Ranny lekko"
94368938,"1","1","Kierujący","1973-10-03","Kobieta","Posiada","12","Nieudzielenie pierwszeństwa przejazdu","Dochodzenie","Trzeźwy",NA
94368938,"2","1","Kierujący","1974-06-14","Kobieta","Nie wymagane",NA,NA,NA,"Trzeźwy","Ranny lekko"
94368965,"1","1","Kierujący","1965-06-06","Mężczyzna","Posiada","28","Jazda po niewłaściwej stronie drogi","Wniosek o ukaranie","Alkoholu","Ranny lekko"
94368965,"2","1","Kierujący","1986-01-10","Mężczyzna","Posiada","7",NA,NA,"Trzeźwy",NA
94369278,"1","1","Kierujący","1983-07-22","Mężczyzna","Posiada","6","Nieudzielenie pierwszeństwa przejazdu","Dochodzenie","Trzeźwy",NA
94369278,"2","1","Kierujący","1958-02-27","Kobieta","Nie wymagane",NA,NA,NA,"Trzeźwy","Ranny lekko"
94369641,"1","1","Kierujący","Nieustalona","Mężczyzna","Posiada",NA,"Nieudzielenie pierwszeństwa przejazdu","Wniosek o ukaranie","Trzeźwy",NA
94369641,"2","1","Kierujący","1984-05-17","Kobieta","Nie wymagane",NA,NA,NA,"Trzeźwy",NA
94370275,"1","1","Kierujący","1978-07-01","Kobieta","Posiada","9","Nieudzielenie pierwszeństwa przejazdu","Mandat karny","Trzeźwy",NA
94370275,"2","1","Kierujący","1953-10-15","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy",NA
94370471,"1","1","Kierujący","1951-05-15","Kobieta","Nie wymagane",NA,"Niedostosowanie prędkości do warunków ruchu","Dochodzenie","Alkoholu","Ranny lekko"
94370471,"2","1","Kierujący","1973-04-27","Kobieta","Nie wymagane",NA,NA,NA,"Trzeźwy",NA
94370707,"1","1","Kierujący","1976-11-12","Kobieta","Posiada",NA,"Nieudzielenie pierwszeństwa przejazdu","Wniosek o ukaranie","Trzeźwy",NA
94370707,"2","1","Kierujący","2000-05-19","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy",NA
94371046,"1","1","Kierujący","Nieustalona","Nie ustalono",NA,NA,"Nieprawidłowe: omijanie","Wniosek o ukaranie","Trzeźwy",NA
94371046,"2","1","Kierujący","1985-10-08","Mężczyzna","Posiada",NA,NA,NA,"Trzeźwy",NA
94373172,"1","1","Kierujący","1996-03-23","Kobieta","Posiada","1",NA,NA,"Trzeźwy","Ranny lekko"
94373221,"1","1","Kierujący","1971-10-31","Mężczyzna","Nie wymagane",NA,"Niedostosowanie prędkości do warunków ruchu","Mandat karny","Trzeźwy",NA
94373221,"2","1","Kierujący","1985-02-28","Mężczyzna","Posiada","11",NA,NA,"Trzeźwy",NA
94373333,"1","1","Kierujący","2000-11-09","Mężczyzna","Nie posiada",NA,"Nieudzielenie pierwszeństwa przejazdu",NA,"Trzeźwy",NA
94373333,"2","1","Kierujący","1992-06-27","Mężczyzna","Posiada",NA,NA,NA,"Trzeźwy",NA
94373982,"1","1","Kierujący","1964-09-12","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy","Ranny ciężko"
94373993,"1","1","Kierujący","2005-11-19","Mężczyzna","Nie posiada",NA,"Nieudzielenie pierwszeństwa przejazdu","Inny organ","Trzeźwy","Ranny lekko"
94373993,"2","1","Kierujący","1965-09-06","Mężczyzna","Posiada","7",NA,NA,"Trzeźwy",NA
94374018,"1","1","Kierujący","1928-05-27","Mężczyzna","Nie wymagane",NA,"Nieudzielenie pierwszeństwa przejazdu","Pouczenie","Trzeźwy",NA
94374018,"2","1","Kierujący","1980-05-06","Kobieta","Posiada","2",NA,NA,"Trzeźwy",NA
94381572,"1","1","Kierujący","Nieustalona","Nie ustalono",NA,NA,NA,"Wniosek o ukaranie","Trzeźwy",NA
94381572,"2","1","Kierujący","1993-05-07","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy",NA
94382600,"1","1","Kierujący","2000-04-09","Mężczyzna","Nie posiada",NA,"Nieprawidłowe: przejeżdżanie przejścia dla pieszych","Dochodzenie","Trzeźwy","Ranny lekko"
94382600,"2","1","Kierujący","1953-10-10","Mężczyzna","Posiada","7",NA,NA,"Trzeźwy",NA
94382600,"3","1","Kierujący","1970-01-09","Mężczyzna","Posiada","8",NA,NA,"Trzeźwy",NA
94382767,"1","1","Kierujący","1991-12-20","Mężczyzna","Posiada","1","Nieudzielenie pierwszeństwa przejazdu","Mandat karny","Trzeźwy",NA
94382767,"2","1","Kierujący","1969-01-05","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy",NA
94382866,"1","1","Kierujący","1981-10-21","Mężczyzna","Nie posiada",NA,NA,"Dochodzenie","Alkoholu","Ranny lekko"
94383639,"1","1","Kierujący","1933-09-28","Mężczyzna","Nie wymagane",NA,"Nieprawidłowe: zmienianie pasa ruchu","Dochodzenie","Trzeźwy","Ranny ciężko"
94383639,"2","1","Kierujący","1971-04-17","Mężczyzna","Posiada","20",NA,NA,"Trzeźwy",NA
94384334,"1","1","Kierujący","1975-06-03","Mężczyzna","Posiada","18","Nieudzielenie pierwszeństwa przejazdu","Dochodzenie","Trzeźwy",NA
94384334,"2","1","Kierujący","1979-07-22","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy","Ranny lekko"
94384340,"1","1","Kierujący","1982-10-26","Mężczyzna","Posiada","12","Nieudzielenie pierwszeństwa przejazdu","Dochodzenie","Trzeźwy",NA
94384340,"2","1","Kierujący","1939-07-30","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy","Ranny lekko"
94384616,"1","1","Kierujący","1968-08-29","Mężczyzna","Posiada",NA,"Nieprawidłowe: cofanie","Mandat karny","Trzeźwy",NA
94384616,"2","1","Kierujący","1973-05-20","Kobieta","Posiada","4",NA,NA,"Trzeźwy",NA
94384621,"1","1","Kierujący","1998-05-17","Mężczyzna","Nie posiada",NA,"Niedostosowanie prędkości do warunków ruchu",NA,"Trzeźwy",NA
94384621,"2","1","Kierujący","1941-11-09","Mężczyzna","Posiada","47",NA,NA,"Trzeźwy",NA
94386830,"1","1","Kierujący","1985-05-12","Mężczyzna","Nie wymagane",NA,"Nieudzielenie pierwszeństwa przejazdu","Wniosek o ukaranie","Trzeźwy",NA
94386830,"2","1","Kierujący","1975-01-25","Mężczyzna","Posiada","18",NA,NA,"Trzeźwy",NA
94387224,"1","1","Kierujący","2005-06-01","Mężczyzna","Nie wymagane",NA,"Nieudzielenie pierwszeństwa przejazdu","Dochodzenie","Trzeźwy","Ranny lekko"
94387224,"2","1","Kierujący","1947-03-19","Kobieta","Posiada","27",NA,NA,"Trzeźwy",NA
94387919,"1","1","Kierujący","1986-05-05","Mężczyzna","Nie wymagane",NA,"Nieudzielenie pierwszeństwa pieszemu","Dochodzenie","Trzeźwy",NA
94387921,"1","1","Kierujący","1958-03-21","Mężczyzna","Posiada","24","Nieudzielenie pierwszeństwa przejazdu","Dochodzenie","Trzeźwy",NA
