"Id","ID pojazdu","ID pasażera","Rola","Data urodzenia","Płeć","Uprawnienia do prowadzenia pojazdu","Liczba lat kierowania","Przyczyna wypadku","Kara","Pod wpływem","Obrażenia","Nieprawidłowe użycie"
97727338,"1","1","Kierujący","1953-03-29","Mężczyzna","Nie wymagane",NA,NA,"Wniosek o ukaranie","Alkoholu",NA,NA
97727338,"2","1","Kierujący","1989-02-19","Kobieta","Posiada","3",NA,NA,"Trzeźwy",NA,NA
97729219,"1","1","Kierujący","1979-08-06","Mężczyzna","Posiada","15","Nieudzielenie pierwszeństwa przejazdu","Mandat karny","Trzeźwy",NA,NA
97729219,"2","1","Kierujący","1950-05-16","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy",NA,NA
97730553,"1","1","Kierujący","1977-12-16","Kobieta","Posiada",NA,"Nieprawidłowe: wyprzedzanie","Mandat karny","Trzeźwy",NA,NA
97730553,"2","1","Kierujący","1961-04-13","Mężczyzna","Posiada",NA,NA,NA,"Trzeźwy",NA,NA
97731733,"1","1","Kierujący","1960-09-24","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy","Ranny lekko",NA
97731733,"2","1","Kierujący","1970-11-26","Mężczyzna","Posiada","24","Nieprawidłowe: skręcanie","Wniosek o ukaranie","Trzeźwy",NA,NA
97735509,"1","1","Kierujący","1963-12-08","Mężczyzna","Nie wymagane",NA,"Nieprawidłowe: zmienianie pasa ruchu","Mandat karny","Trzeźwy",NA,NA
97735509,"2","1","Kierujący","1978-12-04","Mężczyzna","Posiada","15",NA,NA,"Trzeźwy",NA,NA
97736391,"1","1","Kierujący","1978-06-02","Kobieta","Posiada","13","Nieudzielenie pierwszeństwa przejazdu","Wniosek o ukaranie","Trzeźwy",NA,NA
97736391,"2","1","Kierujący","1934-08-09","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy",NA,NA
97737374,"1","1","Kierujący","1961-08-10","Mężczyzna","Posiada","32","Nieudzielenie pierwszeństwa przejazdu","Wniosek o ukaranie","Trzeźwy",NA,NA
97737374,"2","1","Kierujący","1928-02-20","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy",NA,NA
97738873,"1","1","Kierujący","1944-02-14","Mężczyzna","Posiada","53","Nieudzielenie pierwszeństwa przejazdu","Mandat karny","Trzeźwy",NA,NA
97738873,"2","1","Kierujący","1985-05-31","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy",NA,NA
97739226,"1","1","Kierujący","1969-04-06","Mężczyzna","Posiada",NA,"Nieudzielenie pierwszeństwa przejazdu","Mandat karny","Trzeźwy",NA,NA
97739226,"2","1","Kierujący","1982-12-17","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy",NA,NA
97739320,"1","1","Kierujący","2007-03-08","Mężczyzna","Nie wymagane",NA,"Nieudzielenie pierwszeństwa przejazdu","Wniosek o ukaranie","Trzeźwy","Ranny lekko",NA
97739320,"2","1","Kierujący","1982-08-07","Mężczyzna","Posiada","13",NA,NA,"Trzeźwy",NA,NA
97739341,"1","1","Kierujący","1976-01-10","Mężczyzna","Nie wymagane",NA,"Nieprawidłowe: zmienianie pasa ruchu","Dochodzenie","Alkoholu",NA,NA
97739341,"2","1","Kierujący","1985-08-01","Mężczyzna","Posiada","10",NA,NA,"Trzeźwy",NA,NA
97743294,"1","1","Kierujący","2001-09-28","Mężczyzna","Nie wymagane",NA,"Nieudzielenie pierwszeństwa przejazdu","Inny organ","Trzeźwy",NA,NA
97743294,"2","1","Kierujący","1950-04-04","Mężczyzna","Posiada","43",NA,NA,"Trzeźwy",NA,NA
97744096,"1","1","Kierujący","1946-09-21","Mężczyzna","Posiada",NA,"Nieudzielenie pierwszeństwa przejazdu","Dochodzenie","Trzeźwy",NA,NA
97744096,"2","1","Kierujący","1988-01-05","Kobieta","Nie wymagane",NA,NA,NA,"Trzeźwy","Ranny lekko",NA
97744576,"1","1","Kierujący","1995-08-16","Kobieta","Nie wymagane",NA,NA,NA,"Trzeźwy","Ranny ciężko",NA
97744576,"2","1","Kierujący","1930-01-15","Mężczyzna","Posiada","12","Nieprawidłowe: wyprzedzanie","Dochodzenie","Trzeźwy",NA,NA
97744691,"1","1","Kierujący","1930-12-02","Mężczyzna","Nie wymagane",NA,NA,"Dochodzenie","Trzeźwy","Ranny ciężko",NA
97745474,"1","1","Kierujący","Nieustalona","Nie ustalono",NA,NA,"Nieudzielenie pierwszeństwa przejazdu","Dochodzenie","Trzeźwy",NA,NA
97745474,"2","1","Kierujący","1941-12-20","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy",NA,NA
97746144,"1","1","Kierujący","1980-07-06","Kobieta","Posiada","15","Nieudzielenie pierwszeństwa przejazdu","Wniosek o ukaranie","Trzeźwy",NA,NA
97746144,"2","1","Kierujący","1987-07-16","Kobieta","Posiada","7",NA,NA,"Trzeźwy",NA,NA
97748035,"1","1","Kierujący","Nieustalona","Mężczyzna",NA,NA,"Nieprawidłowe: wyprzedzanie","Dochodzenie","Trzeźwy",NA,NA
97748035,"2","1","Kierujący","1974-01-28","Kobieta","Nie wymagane",NA,NA,NA,"Trzeźwy","Ranny lekko",NA
97748362,"1","1","Kierujący","1979-03-25","Kobieta","Posiada","14","Nieudzielenie pierwszeństwa przejazdu","Mandat karny","Trzeźwy",NA,NA
97748362,"2","1","Kierujący","1983-11-20","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy","Ranny lekko",NA
97749542,"1","1","Kierujący","Nieustalona","Nie ustalono","Nie wymagane",NA,"Nieprawidłowe: omijanie",NA,"Trzeźwy",NA,NA
97749542,"2","1","Kierujący","1981-08-06","Kobieta","Posiada","10",NA,NA,"Trzeźwy",NA,NA
97749759,"1","1","Kierujący","1979-08-16","Mężczyzna","Posiada","17","Nieudzielenie pierwszeństwa przejazdu","Mandat karny","Trzeźwy",NA,NA
97749759,"2","1","Kierujący","1983-08-21","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy",NA,NA
97749914,"1","1","Kierujący","2000-12-01","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy",NA,NA
97749914,"2","1","Kierujący","1978-02-26","Mężczyzna","Posiada","9","Nieudzielenie pierwszeństwa przejazdu","Mandat karny","Trzeźwy",NA,NA
97750302,"1","1","Kierujący","1992-07-27","Mężczyzna","Posiada",NA,"Nieprawidłowe: wyprzedzanie","Wniosek o ukaranie","Trzeźwy",NA,NA
97750302,"2","1","Kierujący","1985-06-24","Kobieta","Nie wymagane",NA,NA,NA,"Trzeźwy","Ranny lekko",NA
97752015,"1","1","Kierujący","1981-01-09","Mężczyzna","Posiada","15","Nieprawidłowe: przejeżdżanie przejścia dla rowerów","Wniosek o ukaranie","Trzeźwy",NA,NA
97752015,"2","1","Kierujący","1980-04-04","Mężczyzna","Posiada",NA,NA,NA,"Trzeźwy","Ranny lekko",NA
97752724,"1","1","Kierujący","1985-08-19","Mężczyzna","Posiada","10","Niedostosowanie prędkości do warunków ruchu","Mandat karny","Trzeźwy",NA,NA
97752724,"2","1","Kierujący","1992-06-08","Mężczyzna","Posiada","3",NA,NA,"Trzeźwy",NA,NA
97752883,"1","1","Kierujący","2002-04-02","Kobieta","Nie posiada",NA,"Nieprawidłowe: omijanie",NA,"Trzeźwy",NA,NA
97752883,"2","1","Kierujący","1973-12-16","Kobieta","Posiada","20",NA,NA,"Trzeźwy",NA,NA
97754589,"1","1","Kierujący","1979-12-08","Mężczyzna","Nie wymagane",NA,"Nieprawidłowe: skręcanie","Dochodzenie","Trzeźwy","Ranny lekko",NA
97754589,"2","1","Kierujący","1990-12-26","Mężczyzna","Posiada","9",NA,NA,"Trzeźwy",NA,NA
97755487,"1","1","Kierujący","1987-03-20","Mężczyzna","Posiada","8","Niezachowanie bezp. odl. między pojazdami","Mandat karny","Trzeźwy",NA,NA
97755487,"2","1","Kierujący","1987-03-11","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy",NA,NA
97755626,"1","1","Kierujący","1983-06-24","Mężczyzna","Posiada","13","Nieudzielenie pierwszeństwa przejazdu","Dochodzenie","Trzeźwy",NA,NA
97755626,"2","1","Kierujący","1969-06-02","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy","Ranny lekko",NA
97755789,"1","1","Kierujący","1957-07-13","Kobieta","Posiada","26",NA,NA,"Trzeźwy",NA,NA
97755789,"2","1","Kierujący","Nieustalona","Nie ustalono","Nie wymagane",NA,"Niezachowanie bezp. odl. między pojazdami","Wniosek o ukaranie","Trzeźwy",NA,NA
97755929,"1","1","Kierujący","1959-05-09","Kobieta","Posiada","30","Nieprawidłowe: omijanie","Pouczenie","Trzeźwy",NA,NA
97755929,"2","1","Kierujący","1944-05-13","Mężczyzna","Posiada","53",NA,NA,"Trzeźwy",NA,NA
97756425,"1","1","Kierujący","1962-04-21","Mężczyzna","Posiada","32","Nieprawidłowe: wyprzedzanie","Dochodzenie","Trzeźwy",NA,NA
97756425,"2","1","Kierujący","1966-06-21","Kobieta","Posiada",NA,NA,NA,"Trzeźwy","Ranny lekko",NA
97756606,"1","1","Kierujący","1974-11-25","Kobieta","Posiada","16","Nieudzielenie pierwszeństwa przejazdu","Mandat karny","Trzeźwy",NA,NA
97756606,"2","1","Kierujący","1988-05-20","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy",NA,NA
97757144,"1","1","Kierujący","1989-02-13","Kobieta","Posiada","4","Nieudzielenie pierwszeństwa przejazdu","Wniosek o ukaranie","Trzeźwy",NA,NA
97757144,"2","1","Kierujący","1941-01-11","Kobieta","Nie wymagane",NA,NA,NA,"Trzeźwy",NA,NA
97759415,"1","1","Kierujący","1987-11-10","Mężczyzna","Posiada","8","Wjazd przy czerwonym świetle","Wniosek o ukaranie","Trzeźwy",NA,NA
97759415,"2","1","Kierujący","1946-07-19","Mężczyzna","Posiada","39",NA,NA,"Trzeźwy",NA,NA
97759452,"1","1","Kierujący","Nieustalona","Mężczyzna",NA,NA,NA,"Dochodzenie","Trzeźwy",NA,NA
97759509,"1","1","Kierujący","1972-07-25","Mężczyzna","Posiada",NA,"Nieudzielenie pierwszeństwa przejazdu","Dochodzenie","Trzeźwy",NA,NA
97759509,"2","1","Kierujący","1995-08-06","Mężczyzna","Nie posiada",NA,NA,NA,"Trzeźwy","Ranny lekko",NA
97759516,"1","1","Kierujący","1973-03-12","Kobieta","Posiada","18","Nieudzielenie pierwszeństwa przejazdu","Dochodzenie","Trzeźwy",NA,NA
97759516,"2","1","Kierujący","1982-12-29","Kobieta","Nie wymagane",NA,NA,NA,"Trzeźwy","Ranny lekko",NA
97759520,"1","1","Kierujący","1957-03-15","Kobieta","Posiada","30","Nieudzielenie pierwszeństwa przejazdu","Dochodzenie","Trzeźwy",NA,NA
97759520,"2","1","Kierujący","1938-03-21","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy","Ranny lekko",NA
97760822,"1","1","Kierujący","1982-07-23","Kobieta","Posiada","2","Nieudzielenie pierwszeństwa przejazdu","Mandat karny","Trzeźwy",NA,NA
97760822,"2","1","Kierujący","1995-06-21","Mężczyzna","Posiada",NA,NA,NA,"Trzeźwy",NA,NA
97761047,"1","1","Kierujący","1976-06-27","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy","Ranny lekko",NA
97761434,"1","1","Kierujący","Nieustalona","Kobieta",NA,NA,"Niezachowanie bezp. odl. między pojazdami","Wniosek o ukaranie","Trzeźwy",NA,NA
97761434,"2","1","Kierujący","1955-03-15","Mężczyzna","Posiada","42",NA,NA,"Trzeźwy",NA,NA
97761458,"1","1","Kierujący","1989-06-09","Kobieta","Posiada","5","Nieudzielenie pierwszeństwa przejazdu","Mandat karny","Trzeźwy",NA,NA
97761458,"2","1","Kierujący","1932-03-02","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy",NA,NA
97761467,"1","1","Kierujący","1968-08-12","Kobieta","Posiada","17","Wjazd przy czerwonym świetle","Mandat karny","Trzeźwy",NA,NA
97761467,"2","1","Kierujący","1972-12-03","Kobieta","Nie wymagane",NA,NA,NA,"Trzeźwy","Ranny lekko",NA
97761467,"3","1","Kierujący","1968-06-17","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy",NA,NA
97761561,"1","1","Kierujący","1980-02-14","Kobieta","Posiada","6",NA,"Dochodzenie","Trzeźwy",NA,NA
97761561,"2","1","Kierujący","1948-10-24","Mężczyzna","Nie wymagane",NA,"Nieprawidłowe: przejeżdżanie przejścia dla pieszych","Dochodzenie","Trzeźwy","Ranny lekko",NA
97763155,"1","1","Kierujący","Nieustalona","Mężczyzna","Nie wymagane",NA,"Nieudzielenie pierwszeństwa przejazdu","Wniosek o ukaranie","Trzeźwy",NA,NA
97763155,"2","1","Kierujący","1952-02-21","Kobieta","Posiada","20",NA,NA,"Trzeźwy",NA,NA
97763467,"1","1","Kierujący","1968-06-17","Kobieta","Nie wymagane",NA,"Nieprawidłowe: omijanie","Dochodzenie","Trzeźwy","Ranny lekko",NA
97763467,"2","1","Kierujący","1992-03-17","Kobieta","Posiada","3",NA,NA,"Trzeźwy",NA,NA
97764524,"1","1","Kierujący","2004-04-09","Kobieta","Nie posiada",NA,"Nieudzielenie pierwszeństwa przejazdu","Inny organ","Trzeźwy",NA,NA
97764524,"2","1","Kierujący","1964-02-12","Mężczyzna","Posiada","13",NA,NA,"Trzeźwy",NA,NA
97764763,"1","1","Kierujący","1985-03-13","Mężczyzna","Posiada",NA,"Nieudzielenie pierwszeństwa przejazdu","Wniosek o ukaranie","Trzeźwy",NA,NA
97764763,"2","1","Kierujący","1996-05-22","Kobieta","Nie wymagane",NA,NA,NA,"Trzeźwy",NA,NA
97765750,"1","1","Kierujący","1947-09-12","Mężczyzna","Posiada","20","Nieudzielenie pierwszeństwa przejazdu","Wniosek o ukaranie","Trzeźwy",NA,NA
97765750,"2","1","Kierujący","1938-02-09","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy",NA,NA
97765807,"1","1","Kierujący","1993-04-17","Mężczyzna","Nie wymagane",NA,NA,"Mandat karny","Trzeźwy",NA,NA
97765807,"2","1","Kierujący","1968-03-28","Mężczyzna","Posiada","24",NA,NA,"Trzeźwy",NA,NA
97765847,"1","1","Kierujący","1955-01-18","Mężczyzna","Nie wymagane",NA,"Niezachowanie bezp. odl. między pojazdami","Mandat karny","Trzeźwy",NA,NA
97765847,"2","1","Kierujący","1976-05-05","Mężczyzna","Posiada","19",NA,NA,"Trzeźwy",NA,NA
97766390,"1","1","Kierujący","1987-06-30","Kobieta","Posiada",NA,"Nieprawidłowe: wyprzedzanie","Dochodzenie","Trzeźwy",NA,NA
97766390,"2","1","Kierujący","1996-08-16","Kobieta","Nie posiada",NA,NA,NA,"Trzeźwy","Ranny lekko",NA
97766409,"1","1","Kierujący","1989-06-07","Mężczyzna","Posiada","3","Nieudzielenie pierwszeństwa przejazdu","Dochodzenie","Trzeźwy",NA,NA
97766409,"2","1","Kierujący","1926-12-04","Mężczyzna","Posiada",NA,NA,NA,"Trzeźwy","Ranny ciężko",NA
97766414,"1","1","Kierujący","2001-04-23","Kobieta","Posiada","1","Niedostosowanie prędkości do warunków ruchu",NA,"Trzeźwy","Ranny lekko",NA
97766753,"1","1","Kierujący","1978-05-02","Mężczyzna","Posiada","4","Nieudzielenie pierwszeństwa przejazdu","Mandat karny","Trzeźwy",NA,NA
97766753,"2","1","Kierujący","1940-04-10","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy",NA,NA
97767794,"1","1","Kierujący","Nieustalona","Nie ustalono",NA,NA,NA,NA,"Trzeźwy",NA,NA
97767794,"2","1","Kierujący","1945-07-25","Mężczyzna","Nie wymagane",NA,NA,"Dochodzenie","Trzeźwy","Ranny ciężko",NA
97767800,"1","1","Kierujący","Nieustalona","Mężczyzna",NA,NA,"Nieprzestrzeganie innych sygnałów","Dochodzenie","Trzeźwy",NA,NA
97767800,"2","1","Kierujący","1956-07-05","Kobieta","Posiada",NA,NA,NA,"Trzeźwy","Ranny lekko",NA
97768424,"1","1","Kierujący","1987-05-17","Kobieta","Posiada","1","Nieudzielenie pierwszeństwa przejazdu","Wniosek o ukaranie","Trzeźwy",NA,NA
97768424,"2","1","Kierujący","1980-07-04","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy","Ranny lekko",NA
97769664,"1","1","Kierujący","1984-09-08","Kobieta","Posiada","4",NA,NA,"Trzeźwy",NA,NA
97769664,"2","1","Kierujący","1940-03-19","Mężczyzna","Nie wymagane",NA,"Nieudzielenie pierwszeństwa przejazdu","Mandat karny","Trzeźwy",NA,NA
97770615,"1","1","Kierujący","1978-02-06","Kobieta","Posiada","7","Nieudzielenie pierwszeństwa przejazdu","Mandat karny","Trzeźwy",NA,NA
97770615,"2","1","Kierujący","1987-07-10","Kobieta","Nie wymagane",NA,NA,NA,"Trzeźwy",NA,NA
97770622,"1","1","Kierujący","1956-02-12","Mężczyzna","Posiada","18","Nieudzielenie pierwszeństwa przejazdu","Dochodzenie","Trzeźwy",NA,NA
97770622,"2","1","Kierujący","1991-01-03","Kobieta","Nie wymagane",NA,NA,NA,"Trzeźwy","Ranny lekko",NA
97770972,"1","1","Kierujący","1932-06-03","Mężczyzna","Posiada","44","Wjazd przy czerwonym świetle","Mandat karny","Trzeźwy",NA,NA
97770972,"2","1","Kierujący","1966-08-16","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy",NA,NA
97772500,"1","1","Kierujący","1982-08-22","Mężczyzna","Posiada","5",NA,"Wniosek o ukaranie","Trzeźwy",NA,NA
97772500,"2","1","Kierujący","1968-10-02","Kobieta","Nie wymagane",NA,"Nieprawidłowe: przejeżdżanie przejścia dla pieszych",NA,"Trzeźwy",NA,NA
97772978,"1","1","Kierujący","1949-03-03","Mężczyzna","Nie wymagane",NA,NA,"Mandat karny","Trzeźwy",NA,NA
97772978,"2","1","Kierujący","1978-05-27","Mężczyzna","Posiada","15","Nieudzielenie pierwszeństwa przejazdu","Mandat karny","Trzeźwy",NA,NA
97773232,"1","1","Kierujący","1996-02-14","Mężczyzna","Nie wymagane",NA,"Nieprawidłowe: zmienianie pasa ruchu","Dochodzenie","Trzeźwy","Smierć na miejscu",NA
97773232,"2","1","Kierujący","1968-03-21","Mężczyzna","Posiada","26",NA,NA,"Trzeźwy",NA,NA
97773743,"1","1","Kierujący","1947-08-22","Kobieta","Posiada","21","Nieudzielenie pierwszeństwa przejazdu","Dochodzenie","Trzeźwy","Ranny ciężko",NA
97773743,"2","1","Kierujący","1949-09-26","Mężczyzna","Posiada","42",NA,NA,"Trzeźwy",NA,NA
97773758,"1","1","Kierujący","1968-04-08","Mężczyzna","Posiada","28","Nieudzielenie pierwszeństwa przejazdu","Wniosek o ukaranie","Trzeźwy",NA,NA
97773758,"2","1","Kierujący","1983-06-20","Kobieta","Nie wymagane",NA,NA,NA,"Trzeźwy","Ranny lekko",NA
97773870,"1","1","Kierujący","1993-12-23","Mężczyzna","Nie wymagane",NA,"Nieprawidłowe: przejeżdżanie przejścia dla pieszych","Mandat karny","Trzeźwy",NA,NA
97773870,"2","1","Kierujący","1959-05-03","Mężczyzna","Posiada","34",NA,NA,"Trzeźwy",NA,NA
97773870,"3","1","Kierujący","1960-01-16","Mężczyzna","Posiada","37",NA,NA,"Trzeźwy",NA,NA
97773979,"1","1","Kierujący","1993-06-11","Mężczyzna","Nie wymagane",NA,"Niedostosowanie prędkości do warunków ruchu","Mandat karny","Trzeźwy",NA,NA
97773979,"2","1","Kierujący","1964-07-29","Mężczyzna","Posiada","31",NA,NA,"Trzeźwy",NA,NA
97774216,"1","1","Kierujący","1973-12-07","Mężczyzna","Posiada",NA,"Nieprawidłowe: omijanie","Pouczenie","Trzeźwy",NA,NA
97774216,"2","1","Kierujący","Nieustalona","Nie ustalono",NA,NA,NA,NA,"Trzeźwy",NA,NA
97774225,"1","1","Kierujący","1982-09-10","Mężczyzna","Posiada","5","Niedostosowanie prędkości do warunków ruchu","Dochodzenie","Trzeźwy",NA,NA
97774225,"2","1","Kierujący","1948-11-06","Mężczyzna","Nie wymagane",NA,NA,NA,"Trzeźwy","Śmierć w ciągu 30 dni",NA
97774302,"1","1","Kierujący","1961-03-24","Mężczyzna","Posiada","10","Nieudzielenie pierwszeństwa przejazdu","Mandat karny","Trzeźwy",NA,NA
